ID,Name,Description,mRID,NAFlag,ODBName,ShortID,InternalId,Parent,ObjectType
_b7813524-9045-4202-910b-6c46c4e7ce77,01   AAN-73W40-01   JUA,01   AAN-73W40-01   JUA,LN-01   AAN-73W40-01   JUA,true,AANW4JUA,W4,1900271,_3041c852-b141-4ee6-8865-e3401340d7a8,ACLineSegment
_fbf38bd7-afaa-484f-9f8b-1264a920e904,01   AAN-73W80-01   PAC,01   AAN-73W80-01   PAC,LN-01   AAN-73W80-01   PAC,true,AANW8PAC,W8,1900274,_3041c852-b141-4ee6-8865-e3401340d7a8,ACLineSegment
_aca6896b-c8e7-43e0-a0b7-ae1793485105,01   AAN-73W90-01   CFZ,01   AAN-73W90-01   CFZ,LN-01   AAN-73W90-01   CFZ,true,AANW9CFZ,W9,1900277,_3041c852-b141-4ee6-8865-e3401340d7a8,ACLineSegment
_f612e10d-3bf7-4096-87c5-e614fa066573,01   ACC-73J50-01   VAJ,01   ACC-73J50-01   VAJ,LN-01   ACC-73J50-01   VAJ,true,ACCJ5VAJ,J5,1900280,_3041c852-b141-4ee6-8865-e3401340d7a8,ACLineSegment
_d5e0ac72-5862-4f18-95c3-6246f217e506,01   ACC-73J70-01   AUM,01   ACC-73J70-01   AUM,LN-01   ACC-73J70-01   AUM,true,ACCJ7AUM,J7,1900283,_3041c852-b141-4ee6-8865-e3401340d7a8,ACLineSegment
_3e5645df-2de0-443e-bdf5-9106561e830d,01   ACN-73G90-01   BAR,01   ACN-73G90-01   BAR,LN-01   ACN-73G90-01   BAR,true,ACNG9BAR,G9,1900286,_3041c852-b141-4ee6-8865-e3401340d7a8,ACLineSegment
_b37e8258-d5b3-4a01-bf4e-a12ab1c12269,01   ACN-73H00-01   CHE,01   ACN-73H00-01   CHE,LN-01   ACN-73H00-01   CHE,true,ACNH0CHE,H0,1900289,_3041c852-b141-4ee6-8865-e3401340d7a8,ACLineSegment
_9344696c-5bb7-4055-8aae-08e25673499b,01   AGV-73E60-01   CHA,01   AGV-73E60-01   CHA,LN-01   AGV-73E60-01   CHA,true,AGVE6CHA,E6,1900292,_3041c852-b141-4ee6-8865-e3401340d7a8,ACLineSegment
_2e954a59-283f-41a2-9a1d-e7289007ffec,01   AGV-73E80-01   JCP,01   AGV-73E80-01   JCP,LN-01   AGV-73E80-01   JCP,true,AGVE8JCP,E8,1900298,_3041c852-b141-4ee6-8865-e3401340d7a8,ACLineSegment
_b13b2808-02dc-4a9a-8a0e-21dcfd72ac25,01   ALR-73K30-01   FMC,01   ALR-73K30-01   FMC,LN-01   ALR-73K30-01   FMC,true,ALRK3FMC,K3,1900301,_3041c852-b141-4ee6-8865-e3401340d7a8,ACLineSegment
