ID,Path,Name,Description,ElementName,ElementText,IncludeInSE,MeasurementType,mRID,InternalId,Parent,ObjectType
_1355cfbd-76e0-48dc-ad79-a925f99c843e,Network/Companies/SIN/03OCC/03   ADF/34.5/UN-01/P,P,03   ADF CG-51015 FVOLT        MW,P (1631),CG-51015 FVOLT        MW,true,Real power,,2917757,_fb09ee0f-d1d7-46f4-997c-e5db0b8e5b93,Analog
_1db22a05-2761-4699-9b20-962abaf9a3d4,Network/Companies/SIN/03OCC/03   ADF/34.5/UN-01/Q,Q,03   ADF CG-51015 FVOLT      MVAR,Q (1642),CG-51015 FVOLT      MVAR,true,Reactive power,,2917762,_fb09ee0f-d1d7-46f4-997c-e5db0b8e5b93,Analog
_bbebb8b6-4e5e-4a36-bd14-ae20d726ae72,Network/Companies/SIN/03OCC/03   ADF/34.5/UN-02/P,P,03   ADF CG-51025 FVOLT        MW,P (1631),CG-51025 FVOLT        MW,true,Real power,,2917771,_bbc496e0-de8c-40f6-be53-8bb5c93ab594,Analog
_9a5b4358-9745-4bc7-b896-841662ed3b27,Network/Companies/SIN/03OCC/03   ADF/34.5/UN-02/Q,Q,03   ADF CG-51025 FVOLT      MVAR,Q (1642),CG-51025 FVOLT      MVAR,true,Reactive power,,2917776,_bbc496e0-de8c-40f6-be53-8bb5c93ab594,Analog
_b947a45f-77e2-49f5-a41b-2a5f37cffc6f,Network/Companies/SIN/03OCC/03   AGM/13.8/UN-03/P,P,03   AGM UN-03                 MW,P (1631),UN-03                 MW,true,Real power,,2917964,_1aaab7a4-5101-433a-882c-1df354467ff3,Analog
_12f6fa36-f530-4e0b-8a64-1686527e2f40,Network/Companies/SIN/03OCC/03   AGM/13.8/UN-03/Q,Q,03   AGM UN-03               MVAR,Q (1642),UN-03               MVAR,true,Reactive power,,2917972,_1aaab7a4-5101-433a-882c-1df354467ff3,Analog
_8f24bd76-d4bf-4670-9036-55fef6cb0154,Network/Companies/SIN/03OCC/03   AGM/13.8/UN-01/P,P,03   AGM UN-01                 MW,P (1631),UN-01                 MW,true,Real power,,2918150,_82e010df-47d3-45f7-8424-337ef4bbbeb9,Analog
_fc80eb31-ddee-48a0-b182-77a7b5eb0c9e,Network/Companies/SIN/03OCC/03   AGM/13.8/UN-01/Q,Q,03   AGM UN-01               MVAR,Q (1642),UN-01               MVAR,true,Reactive power,,2918158,_82e010df-47d3-45f7-8424-337ef4bbbeb9,Analog
_d78ac54a-5cad-444f-99cd-e2962f241cf4,Network/Companies/SIN/03OCC/03   AGM/13.8/UN-02/P,P,03   AGM UN-02                 MW,P (1631),UN-02                 MW,true,Real power,,2918368,_088d77cd-261c-4f02-8fab-d51b2890bf00,Analog
_0a28e59a-02bf-4efe-935a-4472a782c741,Network/Companies/SIN/03OCC/03   AGM/13.8/UN-02/Q,Q,03   AGM UN-02               MVAR,Q (1642),UN-02               MVAR,true,Reactive power,,2918376,_088d77cd-261c-4f02-8fab-d51b2890bf00,Analog
_99b44dc3-e5d6-4edb-9f89-d8e1d0a0d82e,Network/Companies/SIN/03OCC/03   APR/16.5/UN-01/P,P,03   APR UN-01    BRUTA        MW,P (1631),UN-01    BRUTA        MW,true,Real power,,2921231,_4febb8f3-9fa2-4df7-805b-125776c77c84,Analog
_a35b07f3-7ec1-4dc4-9dc2-e8c3aa8d9789,Network/Companies/SIN/03OCC/03   APR/16.5/UN-01/Q,Q,03   APR UN-01    BRUTA      MVAR,Q (1642),UN-01    BRUTA      MVAR,true,Reactive power,,2921239,_4febb8f3-9fa2-4df7-805b-125776c77c84,Analog
_7997e95e-f661-4a8f-9eed-ef3775587275,Network/Companies/SIN/03OCC/03   APR/16.5/UN-02/P,P,03   APR UN-02    BRUTA        MW,P (1631),UN-02    BRUTA        MW,true,Real power,,2921457,_2e4aea34-2395-4066-9e66-081b251e7424,Analog
_6594627c-6ab3-4368-8819-2985bdd50c34,Network/Companies/SIN/03OCC/03   APR/16.5/UN-02/Q,Q,03   APR UN-02    BRUTA      MVAR,Q (1642),UN-02    BRUTA      MVAR,true,Reactive power,,2921465,_2e4aea34-2395-4066-9e66-081b251e7424,Analog
_ba7be048-8ddf-4193-b42d-eba37f3a1512,Network/Companies/SIN/03OCC/03   ARI/4.16/UN-01/P,P,03   ARI UN-01                 MW,P (1631),UN-01                 MW,true,Real power,,2925308,_2886c689-911a-409e-95e5-227ec39c2dab,Analog
_a45b2f60-1c47-4f40-a951-23d64848dd6a,Network/Companies/SIN/03OCC/03   ARI/4.16/UN-01/Q,Q,03   ARI UN-01               MVAR,Q (1642),UN-01               MVAR,true,Reactive power,,2925313,_2886c689-911a-409e-95e5-227ec39c2dab,Analog
_648187ab-c4c6-436b-b0a1-29f2fc9ab753,Network/Companies/SIN/03OCC/03   ARI/4.16/UN-02/P,P,03   ARI UN-02                 MW,P (1631),UN-02                 MW,true,Real power,,2925326,_8384b270-59fc-4249-9544-894a11af382d,Analog
