"BusNameMarker:
ID","BusNameMarker:
Name","BusNameMarker:
Path","BusNameMarker:
BusNumber","BusNameMarker:
InternalId","BusNameMarker:
Parent","BusNameMarker:
ObjectType","ConnectivityNode:
Path","ConnectivityNode:
InternalId","ConnectivityNode:
Name","BusNameMarker:
ConnectivityNodeHasABusNameMarker:
ConnectivityNode:
ID","ConnectivityNode:
Parent","ConnectivityNode:
ObjectType"
_D548EB5E-EEB6-4A3F-AC30-533E0EA1B880,05   FED,Network/ReportingGroups/RG_NTE/05   FED,,44435007,_F6FE335F-93EB-410A-B33F-11995B26A016,BusNameMarker,,,,,,
_F70D44DC-D2DC-47C6-B20C-BF2918DFE569,02   TMD,Network/ReportingGroups/RG_ORI/02   TMD,,44436509,_DD646B07-97AE-48E9-8DDE-D35D4F591993,BusNameMarker,,,,,,
_F7209723-5583-4BED-9906-983ED4AABB3C,08   VAD,Network/ReportingGroups/RG_PEN/08   VAD,,44437308,_76D0AE3C-5478-47A1-91D5-14C8684EEC71,BusNameMarker,,,,,,
_0F54EA60-BD54-4DAE-B8C8-292692A1145B,08   BEL,Network/ReportingGroups/RG_BEL/08   BEL,,44437309,_107ABAA4-1E00-4BF8-A216-22C067F05324,BusNameMarker,,,,,,
_1D737FD5-59D7-4F7D-B460-D2541A18B6BF,09   LBR,Network/ReportingGroups/RG_GUA/09   LBR,,44437428,_FB8D580D-576F-405B-B00D-B4FD49F98170,BusNameMarker,,,,,,
_C1232A88-0F9C-498C-82D9-54466CC4ECEB,06   HUI,Network/ReportingGroups/RG_NES/06   HUI,,44437627,_51781422-077E-49D2-814F-6BCFE2C67B30,BusNameMarker,,,,,,
_6FDFCC7B-80EE-4800-B5CB-3FF118F62DC6,05   VCU-34.,Network/ReportingGroups/RG_NTE/05   VCU-34.,,44936727,_F6FE335F-93EB-410A-B33F-11995B26A016,BusNameMarker,Network/Companies/SIN/05NTE/05   EOT/34.5/05   VCU B1  34.5  A_CN,38168258,05   VCU B1  34.5  A_CN,_40a111f6-8d44-4f29-9f51-c365d6401839,_f90d3280-ae6d-4406-a0d8-431c3c83652c,ConnectivityNode
_D14ACE9D-DF03-4645-AF3E-59EEBDBE5462,05   VCT-34.,Network/ReportingGroups/RG_NTE/05   VCT-34.,,44936728,_F6FE335F-93EB-410A-B33F-11995B26A016,BusNameMarker,Network/Companies/SIN/05NTE/05   EOT/34.5/05   VCT B1  34.5  A_CN,38168257,05   VCT B1  34.5  A_CN,_3d53e4d2-42ae-458e-b90d-cbc5b3142613,_f90d3280-ae6d-4406-a0d8-431c3c83652c,ConnectivityNode
_368FB63B-66FF-4CBB-AE36-71A826FF218A,05   VCD-34.,Network/ReportingGroups/RG_NTE/05   VCD-34.,,44936729,_F6FE335F-93EB-410A-B33F-11995B26A016,BusNameMarker,Network/Companies/SIN/05NTE/05   EOT/34.5/05   VCD B1  34.5  A_CN,38168256,05   VCD B1  34.5  A_CN,_4c76e2a6-83f6-4f8f-9100-34dedfb1d571,_f90d3280-ae6d-4406-a0d8-431c3c83652c,ConnectivityNode
_78E1DBCC-55B7-4F27-BCDC-4611DC1C2E26,02   TVP-U1,Network/ReportingGroups/RG_ORI/02   TVP-U1,,44936745,_DD646B07-97AE-48E9-8DDE-D35D4F591993,BusNameMarker,Network/Companies/SIN/02ORI/02VERTVS/13.8/02VERTVS B1  13.8  A_CN,1185514,02VERTVS B1  13.8  A_CN,_3221b942-fd3f-4f58-a694-97ecab10f4e4,_adb38285-da96-4d1f-bf67-c661372cc55c,ConnectivityNode
