ID,Path,Name,NAFlag,InternalId,Parent,ObjectType
_6c03abd7-ca1f-4125-9aef-c667f8cde0e8,Network/Companies/SIN/01CEL/01   AAN/85/01   AAN BD  85    1,01   AAN BD  85    1,true,748868,_24ffac54-fdcf-4d65-8102-3142cbf83505,BusbarSection
_9b01248d-88f7-4946-8d54-ee526790f4e2,Network/Companies/SIN/01CEL/01   AAN/85/01   AAN BD  85    7,01   AAN BD  85    7,true,748870,_24ffac54-fdcf-4d65-8102-3142cbf83505,BusbarSection
_2a665f75-530c-4d7d-a48a-829d9101b9d7,Network/Companies/SIN/01CEL/01   ACC/85/01   ACC B1  85    A,01   ACC B1  85    A,true,749197,_53cf2ab1-806d-4b80-bf4f-3a1d5a9edf78,BusbarSection
_877f2728-50d9-40cb-8b7c-29b241048bd5,Network/Companies/SIN/01CEL/01   ACM/85/01   ACM BD  85    a_,01   ACM BD  85    a_,true,749338,_ac2985e2-f3f7-4ad0-849c-9852154fd773,BusbarSection
_b3c04830-121e-4cd0-bae7-c98030abb3f7,Network/Companies/SIN/01CEL/01   ACN/85/01   ACN B1 85    1,01   ACN B1 85    1,true,749474,_bda01895-eadb-4eb9-8de2-e5a12e2c4eec,BusbarSection
_4c3a6192-9221-44a4-975c-8bcba1bd7a4f,Network/Companies/SIN/01CEL/01   ACO/230/01   ACO B1 230   A,01   ACO B1 230   A,true,749631,_da7a5d8a-fa79-43d2-9eae-9626c98485e8,BusbarSection
_8bf26774-dea4-4496-8de4-e266c91fafbb,Network/Companies/SIN/01CEL/01   ACO/230/01   ACO B2 230   B,01   ACO B2 230   B,true,749633,_da7a5d8a-fa79-43d2-9eae-9626c98485e8,BusbarSection
_940e5151-262b-4be9-a498-bf540505409c,Network/Companies/SIN/01CEL/01   ACO/23/01   ACO BD  23   a_,01   ACO BD  23   a_,true,749692,_ed7dd372-b4b9-4aeb-9cc2-d0c13bc652a3,BusbarSection
_bfd9a337-2f5d-47b5-986c-cf4efe8b0bf7,Network/Companies/SIN/01CEL/01   ACS/230/01   ACS B1 230   A,01   ACS B1 230   A,true,749860,_8c453211-7915-4861-975a-e93042f551ff,BusbarSection
_98a4d67b-f7ed-4e66-afb0-5609e74c60ab,Network/Companies/SIN/01CEL/01   AGU/230/01   AGU B1 230   1,01   AGU B1 230   1,true,750341,_e2179beb-8a4e-4185-b17a-cd61d50dfb78,BusbarSection
_2607572a-5cce-4245-aefe-be56c5710333,Network/Companies/SIN/01CEL/01   AGU/230/01   AGU B2 230   2,01   AGU B2 230   2,true,750343,_e2179beb-8a4e-4185-b17a-cd61d50dfb78,BusbarSection
_0e4415dc-25ea-4fb0-bc91-2935f4a3530c,Network/Companies/SIN/01CEL/01   AGV/85/01   AGV B1  85    A,01   AGV B1  85    A,true,750756,_f819d955-5555-412c-a6a0-e7e91ef08029,BusbarSection
