"BusbarSection:
ID","BusbarSection:
Name","BusbarSection:
ctcpRegion","BusbarSection:
NAFlag","BusbarSection:
InternalId","BusbarSection:
Parent","BusbarSection:
ObjectType","MarketLoadZone:
Path","MarketLoadZone:
InternalId","MarketLoadZone:
Name","BusbarSection:
BusbarSectionAssignedToMarketLoadZone:
MarketLoadZone:
ID","MarketLoadZone:
Parent","MarketLoadZone:
ObjectType"
_6c03abd7-ca1f-4125-9aef-c667f8cde0e8,01   AAN BD  85    1,10,true,748868,_24ffac54-fdcf-4d65-8102-3142cbf83505,BusbarSection,MMS/CENTRO ORIENTE,38174503,CENTRO ORIENTE,_b86ddb98-ca95-4351-9774-3406667d50c8,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_9b01248d-88f7-4946-8d54-ee526790f4e2,01   AAN BD  85    7,10,true,748870,_24ffac54-fdcf-4d65-8102-3142cbf83505,BusbarSection,MMS/CENTRO ORIENTE,38174503,CENTRO ORIENTE,_b86ddb98-ca95-4351-9774-3406667d50c8,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_2a665f75-530c-4d7d-a48a-829d9101b9d7,01   ACC B1  85    A,10,true,749197,_53cf2ab1-806d-4b80-bf4f-3a1d5a9edf78,BusbarSection,MMS/VALLE DE MEXICO NORT,38174504,VALLE DE MEXICO NORT,_d4368ad5-3206-4aec-aafd-4f7f2ca4aada,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_877f2728-50d9-40cb-8b7c-29b241048bd5,01   ACM BD  85    a_,10,true,749338,_ac2985e2-f3f7-4ad0-849c-9852154fd773,BusbarSection,MMS/VALLE DE MEXICO NORT,38174504,VALLE DE MEXICO NORT,_d4368ad5-3206-4aec-aafd-4f7f2ca4aada,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_b3c04830-121e-4cd0-bae7-c98030abb3f7,01   ACN B1 85    1,10,true,749474,_bda01895-eadb-4eb9-8de2-e5a12e2c4eec,BusbarSection,MMS/VALLE DE MEXICO NORT,38174504,VALLE DE MEXICO NORT,_d4368ad5-3206-4aec-aafd-4f7f2ca4aada,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_4c3a6192-9221-44a4-975c-8bcba1bd7a4f,01   ACO B1 230   A,10,true,749631,_da7a5d8a-fa79-43d2-9eae-9626c98485e8,BusbarSection,MMS/VALLE DE MEXICO NORT,38174504,VALLE DE MEXICO NORT,_d4368ad5-3206-4aec-aafd-4f7f2ca4aada,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_8bf26774-dea4-4496-8de4-e266c91fafbb,01   ACO B2 230   B,10,true,749633,_da7a5d8a-fa79-43d2-9eae-9626c98485e8,BusbarSection,MMS/VALLE DE MEXICO NORT,38174504,VALLE DE MEXICO NORT,_d4368ad5-3206-4aec-aafd-4f7f2ca4aada,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_940e5151-262b-4be9-a498-bf540505409c,01   ACO BD  23   a_,10,true,749692,_ed7dd372-b4b9-4aeb-9cc2-d0c13bc652a3,BusbarSection,MMS/VALLE DE MEXICO NORT,38174504,VALLE DE MEXICO NORT,_d4368ad5-3206-4aec-aafd-4f7f2ca4aada,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_bfd9a337-2f5d-47b5-986c-cf4efe8b0bf7,01   ACS B1 230   A,10,true,749860,_8c453211-7915-4861-975a-e93042f551ff,BusbarSection,MMS/CENTRO ORIENTE,38174503,CENTRO ORIENTE,_b86ddb98-ca95-4351-9774-3406667d50c8,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_98a4d67b-f7ed-4e66-afb0-5609e74c60ab,01   AGU B1 230   1,10,true,750341,_e2179beb-8a4e-4185-b17a-cd61d50dfb78,BusbarSection,MMS/VALLE DE MEXICO SUR,38174506,VALLE DE MEXICO SUR,_7ae51acf-c8c1-48d7-8acc-2631edeba613,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_2607572a-5cce-4245-aefe-be56c5710333,01   AGU B2 230   2,10,true,750343,_e2179beb-8a4e-4185-b17a-cd61d50dfb78,BusbarSection,MMS/VALLE DE MEXICO SUR,38174506,VALLE DE MEXICO SUR,_7ae51acf-c8c1-48d7-8acc-2631edeba613,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_0e4415dc-25ea-4fb0-bc91-2935f4a3530c,01   AGV B1  85    A,10,true,750756,_f819d955-5555-412c-a6a0-e7e91ef08029,BusbarSection,MMS/VALLE DE MEXICO SUR,38174506,VALLE DE MEXICO SUR,_7ae51acf-c8c1-48d7-8acc-2631edeba613,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_1b4cbd26-ab1d-4bfc-abdb-2abc96ae30a9,01   AGV B2  85    B,10,true,750758,_f819d955-5555-412c-a6a0-e7e91ef08029,BusbarSection,MMS/VALLE DE MEXICO SUR,38174506,VALLE DE MEXICO SUR,_7ae51acf-c8c1-48d7-8acc-2631edeba613,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
