"ConformLoad:
InternalId","ConformLoad:
ObjectId","ConformLoad:
ID","ConformLoad:
Name","ConformLoad:
IsAuxiliary","ConformLoad:
ODBName","ConformLoad:
Parent","ConformLoad:
ObjectType"
748835,{6c3512f1-efb1-4b1f-8769-2fcfd65daa39},_6c3512f1-efb1-4b1f-8769-2fcfd65daa39,T-01  85\23,false,AANC0151,_d21a08d7-1fb2-4ad0-9f39-82232e0e42af,ConformLoad
748840,{0cd8f0e3-74ca-4183-8578-94254f07b539},_0cd8f0e3-74ca-4183-8578-94254f07b539,T-02  85\23,false,AANC0251,_d21a08d7-1fb2-4ad0-9f39-82232e0e42af,ConformLoad
749697,{95d4e0ea-6a34-4318-a640-b8b1a25b0316},_95d4e0ea-6a34-4318-a640-b8b1a25b0316,T-01 230\23,false,ACOC0151,_ed7dd372-b4b9-4aeb-9cc2-d0c13bc652a3,ConformLoad
750468,{dd3226bb-7b3a-4abf-8c66-26b6def380c2},_dd3226bb-7b3a-4abf-8c66-26b6def380c2,T-01 230\23,false,AGUC0151,_587ec8b8-789e-4721-976c-2c432e0d93f7,ConformLoad
750473,{ff040293-0d47-4635-a95c-776e0173b871},_ff040293-0d47-4635-a95c-776e0173b871,T-02 230\23,false,AGUC0251,_587ec8b8-789e-4721-976c-2c432e0d93f7,ConformLoad
750817,{72acd1b2-73ba-4d8b-82e2-1db874612934},_72acd1b2-73ba-4d8b-82e2-1db874612934,T-01  85\23,false,AGVC0151,_ac66defd-af0d-45ea-b354-94fcaa6bc024,ConformLoad
750822,{d933fdac-6133-4046-8f8b-00f8b7fb3169},_d933fdac-6133-4046-8f8b-00f8b7fb3169,T-02  85\23,false,AGVC0251,_ac66defd-af0d-45ea-b354-94fcaa6bc024,ConformLoad
757324,{ce367685-5e22-44a0-b677-df446126198e},_ce367685-5e22-44a0-b677-df446126198e,T-01  85\23,false,ANLC0151,_b7f5adb4-a482-4da2-9ca4-9ea111bbb2ab,ConformLoad
757546,{cdca8920-fbc9-4e14-9e26-59330ece6f4a},_cdca8920-fbc9-4e14-9e26-59330ece6f4a,T-01  85\23,false,ANSC0151,_166bb403-f3dd-4b5b-a6a5-df8257b5f120,ConformLoad
757551,{2d108c8b-4358-4db9-b182-689c84e8c132},_2d108c8b-4358-4db9-b182-689c84e8c132,T-02  85\23,false,ANSC0251,_166bb403-f3dd-4b5b-a6a5-df8257b5f120,ConformLoad
757556,{50151ff9-10ef-42f6-870d-96714cadd2f7},_50151ff9-10ef-42f6-870d-96714cadd2f7,T-03  85\23,false,ANSC0351,_166bb403-f3dd-4b5b-a6a5-df8257b5f120,ConformLoad
