"ConformLoad:
ID","ConformLoad:
Name","ConformLoad:
NAFlag","ConformLoad:
InternalId","ConformLoad:
Parent","ConformLoad:
ObjectType","ConformLoadGroup:
Path","ConformLoadGroup:
InternalId","ConformLoadGroup:
Name","ConformLoad:
ConformLoadAssignedToConformLoadGroup:
ConformLoadGroup:
ID","ConformLoadGroup:
Parent","ConformLoadGroup:
ObjectType"
_6c3512f1-efb1-4b1f-8769-2fcfd65daa39,T-01  85\23,true,748835,_d21a08d7-1fb2-4ad0-9f39-82232e0e42af,ConformLoad,Network/.Load Areas/SIN/01CEL/01   AAN  T-01  85_23-LG,748952,01   AAN  T-01  85_23-LG,_60d4cb59-cd66-46ed-bb3e-b3d473a219e3,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_0cd8f0e3-74ca-4183-8578-94254f07b539,T-02  85\23,true,748840,_d21a08d7-1fb2-4ad0-9f39-82232e0e42af,ConformLoad,Network/.Load Areas/SIN/01CEL/01   AAN  T-02  85_23-LG,749053,01   AAN  T-02  85_23-LG,_2bf68dd2-f604-4faf-a999-501d29534e63,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_95d4e0ea-6a34-4318-a640-b8b1a25b0316,T-01 230\23,true,749697,_ed7dd372-b4b9-4aeb-9cc2-d0c13bc652a3,ConformLoad,Network/.Load Areas/SIN/01CEL/01   ACO  T-01 230_23-LG,749708,01   ACO  T-01 230_23-LG,_92e3af96-4be4-4951-bb1e-eb211d187be6,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_dd3226bb-7b3a-4abf-8c66-26b6def380c2,T-01 230\23,true,750468,_587ec8b8-789e-4721-976c-2c432e0d93f7,ConformLoad,Network/.Load Areas/SIN/01CEL/01   AGU  T-01 230_23-LG,750490,01   AGU  T-01 230_23-LG,_6b98f1cc-b606-45ec-a8c6-1c076e84be11,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_ff040293-0d47-4635-a95c-776e0173b871,T-02 230\23,true,750473,_587ec8b8-789e-4721-976c-2c432e0d93f7,ConformLoad,Network/.Load Areas/SIN/01CEL/01   AGU  T-02 230_23-LG,750591,01   AGU  T-02 230_23-LG,_705baa77-bbb1-4398-a76a-f048d15f5107,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_72acd1b2-73ba-4d8b-82e2-1db874612934,T-01  85\23,true,750817,_ac66defd-af0d-45ea-b354-94fcaa6bc024,ConformLoad,Network/.Load Areas/SIN/01CEL/01   AGV  T-01  85_23-LG,750839,01   AGV  T-01  85_23-LG,_ed72ab30-381f-4c37-ae35-fcbb82b8e865,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_d933fdac-6133-4046-8f8b-00f8b7fb3169,T-02  85\23,true,750822,_ac66defd-af0d-45ea-b354-94fcaa6bc024,ConformLoad,Network/.Load Areas/SIN/01CEL/01   AGV  T-02  85_23-LG,750940,01   AGV  T-02  85_23-LG,_8f3bddb4-8548-4aca-9adf-b5736bbf418b,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_ce367685-5e22-44a0-b677-df446126198e,T-01  85\23,true,757324,_b7f5adb4-a482-4da2-9ca4-9ea111bbb2ab,ConformLoad,Network/.Load Areas/SIN/01CEL/01   ANL  T-01  85_23-LG,757335,01   ANL  T-01  85_23-LG,_c44c322f-8b9e-44e1-926e-c968d68d43dc,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_cdca8920-fbc9-4e14-9e26-59330ece6f4a,T-01  85\23,true,757546,_166bb403-f3dd-4b5b-a6a5-df8257b5f120,ConformLoad,Network/.Load Areas/SIN/01CEL/01   ANS  T-01  85_23-LG,757590,01   ANS  T-01  85_23-LG,_6b1ff862-143a-4287-9d9e-6766cf2ce7b4,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_2d108c8b-4358-4db9-b182-689c84e8c132,T-02  85\23,true,757551,_166bb403-f3dd-4b5b-a6a5-df8257b5f120,ConformLoad,Network/.Load Areas/SIN/01CEL/01   ANS  T-02  85_23-LG,757691,01   ANS  T-02  85_23-LG,_8498ab49-2475-4655-b5ae-74a817ccdbc2,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
