"GeneratingUnit:
ID","GeneratingUnit:
Name","GeneratingUnit:
AGCFlag","GeneratingUnit:
MaximumDeratedMW","GeneratingUnit:
maxOperatingP","GeneratingUnit:
MinimumDeratedMW","GeneratingUnit:
minOperatingP","GeneratingUnit:
ratedNetMaxP","GeneratingUnit:
ratedNetMinP","GeneratingUnit:
InternalId","GeneratingUnit:
Parent","GeneratingUnit:
ObjectType"
_a11ee4f6-02e9-47a2-a678-f922c352efa7,07   ECO-U01 Unit,false,,160,,0,160,0,1916285,_9f81484f-ac78-4928-a078-f8cb58ed8a19,WindGeneratingUnit
_4f8c6c15-9fd9-4b74-9943-9b94ee768e2d,07   OCO-U01 Unit,false,,300,,0,300,0,1916751,_be57c194-b0d7-4d1c-8ee5-25fdd796f08d,WindGeneratingUnit
_a53b2f00-dcbb-41cc-9b21-39ea5eee19e4,08EGU-PTA Unit,true,10,70,0,0,70,0,2116166,_14727d13-50b4-4567-94cc-3849f9cfebd3,WindGeneratingUnit
_5bca4689-ae1b-44df-b5a3-a05b476556b2,08ERP-PTA Unit,true,90,90,0,0,90,0,2116173,_c5950010-14bd-450d-8b9f-3ecf82b587d3,WindGeneratingUnit
_401ca916-95bb-46db-8747-ccad4a64f09a,08ETI-PTA Unit,true,84,84,0,0,84,0,2116179,_02c7d3c9-088b-4f03-8b6f-59fffab98111,WindGeneratingUnit
_6ab7473d-3b43-4400-9334-028a89fd4c37,06AMD-PTA Unit,true,102.95,102.95,0,0,102.95,0,2364213,_c78b5253-da19-4629-9e72-b80dca70dca6,WindGeneratingUnit
_809212cc-e3f0-42f8-83f8-f358b820b405,06AMD-U1 Unit,true,10.65,10.65,0,0,10.65,0,2364214,_c78b5253-da19-4629-9e72-b80dca70dca6,WindGeneratingUnit
_7ba0dfbb-5f57-468d-9e99-b599e6ac5b15,06AMD-U2 Unit,true,14.199999999999999,14.199999999999999,0,0,14.199999999999999,0,2364215,_c78b5253-da19-4629-9e72-b80dca70dca6,WindGeneratingUnit
_acd03e49-1b3b-4e8e-9c3a-d8ec86f684b5,06AMD-U3 Unit,true,10.65,10.65,0,0,10.65,0,2364216,_c78b5253-da19-4629-9e72-b80dca70dca6,WindGeneratingUnit
_1ac9018b-6a47-47d5-9e61-1875a59c83eb,06AMD-U4 Unit,true,10.65,10.65,0,0,10.65,0,2364217,_c78b5253-da19-4629-9e72-b80dca70dca6,WindGeneratingUnit
_6878f436-a053-47cf-ade7-ebcaa927367a,06AMD-U5 Unit,true,10.65,10.65,0,0,10.65,0,2364218,_c78b5253-da19-4629-9e72-b80dca70dca6,WindGeneratingUnit
_8d42d248-449c-4868-9374-0ab757853787,06AMD-U6 Unit,true,10.65,10.65,0,0,10.65,0,2364219,_c78b5253-da19-4629-9e72-b80dca70dca6,WindGeneratingUnit
_3046dec6-27b8-4ab8-bffe-5eaa5ab40767,06AMD-U7 Unit,true,17.75,17.75,0,0,17.75,0,2364220,_c78b5253-da19-4629-9e72-b80dca70dca6,WindGeneratingUnit
_5a1e788e-172b-4507-a0a5-fc038dcd45f8,06AMD-U8 Unit,true,17.75,17.75,0,0,17.75,0,2364221,_c78b5253-da19-4629-9e72-b80dca70dca6,WindGeneratingUnit
_932edb45-34de-4715-8a26-5a053e37de8c,06CJO-PTA Unit,true,183,183,0,0,183,0,2364233,_517015ef-6fa6-4b19-bad8-13a5e5a438ae,WindGeneratingUnit
_de7a985e-c5a7-4cd8-8bcd-cdd63f89a5f2,06CJO-U1 Unit,true,21,21,0,0,21,0,2364234,_517015ef-6fa6-4b19-bad8-13a5e5a438ae,WindGeneratingUnit
_062cd79d-f7f6-465a-94a0-0325b2a0c313,06CJO-U2 Unit,true,18,18,0,0,18,0,2364235,_517015ef-6fa6-4b19-bad8-13a5e5a438ae,WindGeneratingUnit
