"ImpedanceVariation:
InternalId","ImpedanceVariation:
ObjectId","ImpedanceVariation:
ID","ImpedanceVariation:
Name","ImpedanceVariation:
Description","ImpedanceVariation:
DeltaIronLossCond","ImpedanceVariation:
DeltaMagnSusc","ImpedanceVariation:
DeltaReactance","ImpedanceVariation:
DeltaResistance","ImpedanceVariation:
TapPosition","ImpedanceVariation:
Parent","ImpedanceVariation:
ObjectType","TapChanger:
InternalId","TapChanger:
Name","ImpedanceVariation:
ImpedanceVariationMemberOfTapChanger:
TapChanger:
ID","TapChanger:
Parent","TapChanger:
ObjectType"
770300,{3e557182-d555-490b-a7f8-2b5941ed598c},_3e557182-d555-490b-a7f8-2b5941ed598c,ImpedanceVar_6,,0,0,0,0,6,_f423fa89-4b91-4a9e-9690-85d00dbf5487,ImpedanceVariation,770283,High Tap,_f423fa89-4b91-4a9e-9690-85d00dbf5487,_c0155323-3ac3-46f5-b73b-9d7a207f89b5,TapChanger
770301,{10c8d7a7-531a-4727-ae03-e0844f799125},_10c8d7a7-531a-4727-ae03-e0844f799125,ImpedanceVar_7,,0,0,0,0,7,_f423fa89-4b91-4a9e-9690-85d00dbf5487,ImpedanceVariation,770283,High Tap,_f423fa89-4b91-4a9e-9690-85d00dbf5487,_c0155323-3ac3-46f5-b73b-9d7a207f89b5,TapChanger
770302,{eb6ebe51-cc4b-4130-9223-b7b6009aadb7},_eb6ebe51-cc4b-4130-9223-b7b6009aadb7,ImpedanceVar_8,,0,0,0,0,8,_f423fa89-4b91-4a9e-9690-85d00dbf5487,ImpedanceVariation,770283,High Tap,_f423fa89-4b91-4a9e-9690-85d00dbf5487,_c0155323-3ac3-46f5-b73b-9d7a207f89b5,TapChanger
770303,{048f18da-ee67-434d-8735-e88813cbac82},_048f18da-ee67-434d-8735-e88813cbac82,ImpedanceVar_9,,0,0,0,0,9,_f423fa89-4b91-4a9e-9690-85d00dbf5487,ImpedanceVariation,770283,High Tap,_f423fa89-4b91-4a9e-9690-85d00dbf5487,_c0155323-3ac3-46f5-b73b-9d7a207f89b5,TapChanger
770304,{36de98e0-3d55-4eb5-b389-d4335e54c64f},_36de98e0-3d55-4eb5-b389-d4335e54c64f,ImpedanceVar_10,,0,0,0,0,10,_f423fa89-4b91-4a9e-9690-85d00dbf5487,ImpedanceVariation,770283,High Tap,_f423fa89-4b91-4a9e-9690-85d00dbf5487,_c0155323-3ac3-46f5-b73b-9d7a207f89b5,TapChanger
770305,{4b29e3b5-d81a-4f3f-a2e6-f72512249789},_4b29e3b5-d81a-4f3f-a2e6-f72512249789,ImpedanceVar_11,,0,0,0,0,11,_f423fa89-4b91-4a9e-9690-85d00dbf5487,ImpedanceVariation,770283,High Tap,_f423fa89-4b91-4a9e-9690-85d00dbf5487,_c0155323-3ac3-46f5-b73b-9d7a207f89b5,TapChanger
770306,{8e24cf20-49ce-4149-bc95-38b6c082a635},_8e24cf20-49ce-4149-bc95-38b6c082a635,ImpedanceVar_12,,0,0,0,0,12,_f423fa89-4b91-4a9e-9690-85d00dbf5487,ImpedanceVariation,770283,High Tap,_f423fa89-4b91-4a9e-9690-85d00dbf5487,_c0155323-3ac3-46f5-b73b-9d7a207f89b5,TapChanger
770307,{6a89e828-7e27-4380-8433-abc9861d89c1},_6a89e828-7e27-4380-8433-abc9861d89c1,ImpedanceVar_13,,0,0,0,0,13,_f423fa89-4b91-4a9e-9690-85d00dbf5487,ImpedanceVariation,770283,High Tap,_f423fa89-4b91-4a9e-9690-85d00dbf5487,_c0155323-3ac3-46f5-b73b-9d7a207f89b5,TapChanger
770308,{b5afb9a5-bb2f-4cf4-906b-35461cab1cc4},_b5afb9a5-bb2f-4cf4-906b-35461cab1cc4,ImpedanceVar_14,,0,0,0,0,14,_f423fa89-4b91-4a9e-9690-85d00dbf5487,ImpedanceVariation,770283,High Tap,_f423fa89-4b91-4a9e-9690-85d00dbf5487,_c0155323-3ac3-46f5-b73b-9d7a207f89b5,TapChanger
770309,{4cf96ba1-25aa-47e0-8cf0-cdb5bd4ec279},_4cf96ba1-25aa-47e0-8cf0-cdb5bd4ec279,ImpedanceVar_15,,0,0,0,0,15,_f423fa89-4b91-4a9e-9690-85d00dbf5487,ImpedanceVariation,770283,High Tap,_f423fa89-4b91-4a9e-9690-85d00dbf5487,_c0155323-3ac3-46f5-b73b-9d7a207f89b5,TapChanger
770310,{931d5e8d-edab-4285-828f-24259f5d1573},_931d5e8d-edab-4285-828f-24259f5d1573,ImpedanceVar_16,,0,0,0,0,16,_f423fa89-4b91-4a9e-9690-85d00dbf5487,ImpedanceVariation,770283,High Tap,_f423fa89-4b91-4a9e-9690-85d00dbf5487,_c0155323-3ac3-46f5-b73b-9d7a207f89b5,TapChanger
770311,{8a4d3587-4d2a-4263-88d4-0bec2ed973e8},_8a4d3587-4d2a-4263-88d4-0bec2ed973e8,ImpedanceVar_17,,0,0,0,0,17,_f423fa89-4b91-4a9e-9690-85d00dbf5487,ImpedanceVariation,770283,High Tap,_f423fa89-4b91-4a9e-9690-85d00dbf5487,_c0155323-3ac3-46f5-b73b-9d7a207f89b5,TapChanger
770312,{815d053d-7719-4d32-ad45-d5fae10f2f53},_815d053d-7719-4d32-ad45-d5fae10f2f53,ImpedanceVar_18,,0,0,0,0,18,_f423fa89-4b91-4a9e-9690-85d00dbf5487,ImpedanceVariation,770283,High Tap,_f423fa89-4b91-4a9e-9690-85d00dbf5487,_c0155323-3ac3-46f5-b73b-9d7a207f89b5,TapChanger
770313,{2e1c0139-ec30-4e50-8c97-063e26fe6c6f},_2e1c0139-ec30-4e50-8c97-063e26fe6c6f,ImpedanceVar_19,,0,0,0,0,19,_f423fa89-4b91-4a9e-9690-85d00dbf5487,ImpedanceVariation,770283,High Tap,_f423fa89-4b91-4a9e-9690-85d00dbf5487,_c0155323-3ac3-46f5-b73b-9d7a207f89b5,TapChanger
770314,{16984178-fdd8-45e8-8c8e-162184d5dbf2},_16984178-fdd8-45e8-8c8e-162184d5dbf2,ImpedanceVar_20,,0,0,0,0,20,_f423fa89-4b91-4a9e-9690-85d00dbf5487,ImpedanceVariation,770283,High Tap,_f423fa89-4b91-4a9e-9690-85d00dbf5487,_c0155323-3ac3-46f5-b73b-9d7a207f89b5,TapChanger
770315,{d1b72b63-2a0c-46bf-b5f8-f5787fcdd41e},_d1b72b63-2a0c-46bf-b5f8-f5787fcdd41e,ImpedanceVar_21,,0,0,0,0,21,_f423fa89-4b91-4a9e-9690-85d00dbf5487,ImpedanceVariation,770283,High Tap,_f423fa89-4b91-4a9e-9690-85d00dbf5487,_c0155323-3ac3-46f5-b73b-9d7a207f89b5,TapChanger
770339,{94f384fe-0420-493a-9079-1612d634d90d},_94f384fe-0420-493a-9079-1612d634d90d,ImpedanceVar_6,,0,0,0,0,6,_004dc3e7-0df2-4225-991e-0831471f5d2f,ImpedanceVariation,770322,High Tap,_004dc3e7-0df2-4225-991e-0831471f5d2f,_d4ae533c-4d47-4a5b-a5b8-e1e16be29729,TapChanger
770340,{b661ab6f-25f1-457c-a10e-91ce5b0738f5},_b661ab6f-25f1-457c-a10e-91ce5b0738f5,ImpedanceVar_7,,0,0,0,0,7,_004dc3e7-0df2-4225-991e-0831471f5d2f,ImpedanceVariation,770322,High Tap,_004dc3e7-0df2-4225-991e-0831471f5d2f,_d4ae533c-4d47-4a5b-a5b8-e1e16be29729,TapChanger
770341,{1c683cf9-067c-4220-8996-4f0be89cb2fb},_1c683cf9-067c-4220-8996-4f0be89cb2fb,ImpedanceVar_8,,0,0,0,0,8,_004dc3e7-0df2-4225-991e-0831471f5d2f,ImpedanceVariation,770322,High Tap,_004dc3e7-0df2-4225-991e-0831471f5d2f,_d4ae533c-4d47-4a5b-a5b8-e1e16be29729,TapChanger
770342,{ae04fbaa-02c9-4f1c-90ae-29b367186447},_ae04fbaa-02c9-4f1c-90ae-29b367186447,ImpedanceVar_9,,0,0,0,0,9,_004dc3e7-0df2-4225-991e-0831471f5d2f,ImpedanceVariation,770322,High Tap,_004dc3e7-0df2-4225-991e-0831471f5d2f,_d4ae533c-4d47-4a5b-a5b8-e1e16be29729,TapChanger
770343,{6c1bef46-d3ce-48c8-a563-8b5e3f21f072},_6c1bef46-d3ce-48c8-a563-8b5e3f21f072,ImpedanceVar_10,,0,0,0,0,10,_004dc3e7-0df2-4225-991e-0831471f5d2f,ImpedanceVariation,770322,High Tap,_004dc3e7-0df2-4225-991e-0831471f5d2f,_d4ae533c-4d47-4a5b-a5b8-e1e16be29729,TapChanger
770344,{0f618dad-c853-45ae-a659-b0e990df444c},_0f618dad-c853-45ae-a659-b0e990df444c,ImpedanceVar_11,,0,0,0,0,11,_004dc3e7-0df2-4225-991e-0831471f5d2f,ImpedanceVariation,770322,High Tap,_004dc3e7-0df2-4225-991e-0831471f5d2f,_d4ae533c-4d47-4a5b-a5b8-e1e16be29729,TapChanger
770345,{2e9758ed-5e94-4fe5-8ac3-5007616a1b01},_2e9758ed-5e94-4fe5-8ac3-5007616a1b01,ImpedanceVar_12,,0,0,0,0,12,_004dc3e7-0df2-4225-991e-0831471f5d2f,ImpedanceVariation,770322,High Tap,_004dc3e7-0df2-4225-991e-0831471f5d2f,_d4ae533c-4d47-4a5b-a5b8-e1e16be29729,TapChanger
770346,{780a36e1-4026-4388-bdb4-d1b644cf012e},_780a36e1-4026-4388-bdb4-d1b644cf012e,ImpedanceVar_13,,0,0,0,0,13,_004dc3e7-0df2-4225-991e-0831471f5d2f,ImpedanceVariation,770322,High Tap,_004dc3e7-0df2-4225-991e-0831471f5d2f,_d4ae533c-4d47-4a5b-a5b8-e1e16be29729,TapChanger
770347,{28fecdb6-930d-4e56-aea0-ba6e516d0170},_28fecdb6-930d-4e56-aea0-ba6e516d0170,ImpedanceVar_14,,0,0,0,0,14,_004dc3e7-0df2-4225-991e-0831471f5d2f,ImpedanceVariation,770322,High Tap,_004dc3e7-0df2-4225-991e-0831471f5d2f,_d4ae533c-4d47-4a5b-a5b8-e1e16be29729,TapChanger
770348,{85730855-30d0-4ba0-b337-a5396dd54ab5},_85730855-30d0-4ba0-b337-a5396dd54ab5,ImpedanceVar_15,,0,0,0,0,15,_004dc3e7-0df2-4225-991e-0831471f5d2f,ImpedanceVariation,770322,High Tap,_004dc3e7-0df2-4225-991e-0831471f5d2f,_d4ae533c-4d47-4a5b-a5b8-e1e16be29729,TapChanger
770349,{32153fa7-4b23-4ade-937f-d54e51ea072a},_32153fa7-4b23-4ade-937f-d54e51ea072a,ImpedanceVar_16,,0,0,0,0,16,_004dc3e7-0df2-4225-991e-0831471f5d2f,ImpedanceVariation,770322,High Tap,_004dc3e7-0df2-4225-991e-0831471f5d2f,_d4ae533c-4d47-4a5b-a5b8-e1e16be29729,TapChanger
770350,{9ba515b9-e902-4cdd-a9d4-c9f791f005ba},_9ba515b9-e902-4cdd-a9d4-c9f791f005ba,ImpedanceVar_17,,0,0,0,0,17,_004dc3e7-0df2-4225-991e-0831471f5d2f,ImpedanceVariation,770322,High Tap,_004dc3e7-0df2-4225-991e-0831471f5d2f,_d4ae533c-4d47-4a5b-a5b8-e1e16be29729,TapChanger
