"NonConformLoad:
ID","NonConformLoad:
Name","NonConformLoad:
Path","NonConformLoad:
LogbookText","NonConformLoad:
NAFlag","NonConformLoad:
ODBName","NonConformLoad:
SCADAFlag","NonConformLoad:
ShortID","NonConformLoad:
InternalId","NonConformLoad:
Parent","NonConformLoad:
ObjectType","NonConformLoadGroup:
Path","NonConformLoadGroup:
InternalId","NonConformLoadGroup:
Name","NonConformLoad:
NonConformLoadAssignedToNonConformLoadGroup:
NonConformLoadGroup:
ID","NonConformLoadGroup:
Parent","NonConformLoadGroup:
ObjectType"
_1a91d9dc-e392-48d6-837c-9e49c9d2fef5,CR-CARGA ACC          MW,Network/Companies/SIN/01CEL/01   ACC/85/CR-CARGA ACC          MW,CR-CARGA ACC          MW,true,ACCN0171,true,1,749217,_53cf2ab1-806d-4b80-bf4f-3a1d5a9edf78,NonConformLoad,Network/.Load Areas/SIN/01CEL/01   ACC CRC ACC-LG,749222,01   ACC CRC ACC-LG,_bfd40762-7b0d-40c4-97b0-f6cb2d42f486,_45b864f2-1191-461d-ab8b-4d8ad42dd154,NonConformLoadGroup
_1bbadcb7-ce19-4d3a-b7bf-5b7dfa45fd97,T-01  85\23,Network/Companies/SIN/01CEL/01   ACM/85/T-01  85\23,T-01  85\23,true,ACMN0171,true,1,749352,_ac2985e2-f3f7-4ad0-849c-9852154fd773,NonConformLoad,Network/.Load Areas/SIN/01CEL/01   ACM  T-01  85_23-LG,749357,01   ACM  T-01  85_23-LG,_71253d42-1411-4ace-8b30-e5dbc60f86d8,_45b864f2-1191-461d-ab8b-4d8ad42dd154,NonConformLoadGroup
_5b427489-4f69-42f9-b1b8-0402e88cda15,CACN       85CA,Network/Companies/SIN/01CEL/01   ACN/85/CACN       85CA,CACN       85CA,true,ACNN0171,true,1,749497,_bda01895-eadb-4eb9-8de2-e5a12e2c4eec,NonConformLoad,Network/.Load Areas/SIN/01CEL/01   ACN CACN       85CA-LG,749502,01   ACN CACN       85CA-LG,_2067fe32-a260-4081-8fd1-051af7c92342,_45b864f2-1191-461d-ab8b-4d8ad42dd154,NonConformLoadGroup
_2786e2d7-6070-4080-ba03-24e803e46122,T-01 230\13.8,Network/Companies/SIN/01CEL/01   ACS/13.8/T-01 230\13.8,T-01 230\13.8,true,ACSN0141,true,1,749937,_dcaabd70-41d7-4f8d-8680-963a3f645282,NonConformLoad,Network/.Load Areas/SIN/01CEL/01   ACS  T-01 230_13.8-LG,749969,01   ACS  T-01 230_13.8-LG,_acca1481-b978-4e87-a7ab-efbf1ecb6df0,_45b864f2-1191-461d-ab8b-4d8ad42dd154,NonConformLoadGroup
_d7be713b-9754-40c5-9616-d28de2140732,T-03 230\13.8,Network/Companies/SIN/01CEL/01   ACS/13.8/T-03 230\13.8,T-03 230\13.8,true,ACSN0241,true,2,749942,_dcaabd70-41d7-4f8d-8680-963a3f645282,NonConformLoad,Network/.Load Areas/SIN/01CEL/01   ACS  T-03 230_13.8-LG,750070,01   ACS  T-03 230_13.8-LG,_47dbb6b7-8fa1-46ba-9c70-96932f3f4555,_45b864f2-1191-461d-ab8b-4d8ad42dd154,NonConformLoadGroup
_08970a09-6038-4032-93bd-a204d22d582e,T-02 230\34.5,Network/Companies/SIN/01CEL/01   ACS/34.5/T-02 230\34.5,T-02 230\34.5,true,ACSN0151,true,1,749949,_b5bf8ad7-e924-4dee-a1c9-6e1e287cff12,NonConformLoad,Network/.Load Areas/SIN/01CEL/01   ACS  T-02 230_34.5-LG,750171,01   ACS  T-02 230_34.5-LG,_876e63de-2a52-4557-8a7c-aa1ade2caed6,_45b864f2-1191-461d-ab8b-4d8ad42dd154,NonConformLoadGroup
_c26d7e96-30cb-4ac0-8ab0-1d8c49223348,CRG ALR,Network/Companies/SIN/01CEL/01   ALR/85/CRG ALR,CRG ALR,true,ALRN0171,true,1,751099,_8d2202c3-01ba-498e-ae46-d6ac8fd60051,NonConformLoad,Network/.Load Areas/SIN/01CEL/01   ALR CRG ALR-LG,751104,01   ALR CRG ALR-LG,_5b8fdf5c-d3c0-4600-9b3c-6d02a831be0c,_45b864f2-1191-461d-ab8b-4d8ad42dd154,NonConformLoadGroup
_fea2553e-85c0-4a0c-8303-fe02e093529c,230CA,Network/Companies/SIN/01CEL/01   ARX/230/230CA,230CA,true,ARXN0191,true,1,760694,_3855e1b2-7187-43c4-845b-06adac836bc0,NonConformLoad,Network/.Load Areas/SIN/01CEL/01   ARX 230CA-LG,760699,01   ARX 230CA-LG,_28b03566-087e-45c2-9645-ddb9437fc82e,_45b864f2-1191-461d-ab8b-4d8ad42dd154,NonConformLoadGroup
_940ee20c-6cb7-4fac-a8b4-8c3fbaf64c27,T-01 230\23,Network/Companies/SIN/01CEL/01   ASK/23/T-01 230\23,T-01 230\23,true,ASKN0151,true,1,760830,_f8f84e2b-ec57-43f0-ab86-068e8729a537,NonConformLoad,Network/.Load Areas/SIN/01CEL/01   ASK  T-01 230_23-LG,760852,01   ASK  T-01 230_23-LG,_f9469729-979a-4ee9-aeb4-306ab5556489,_45b864f2-1191-461d-ab8b-4d8ad42dd154,NonConformLoadGroup
_47ad76d4-0e42-48fc-bc43-62b1ac6b311a,T-02 230\23,Network/Companies/SIN/01CEL/01   ASK/23/T-02 230\23,T-02 230\23,true,ASKN0251,true,2,760835,_f8f84e2b-ec57-43f0-ab86-068e8729a537,NonConformLoad,Network/.Load Areas/SIN/01CEL/01   ASK  T-02 230_23-LG,760953,01   ASK  T-02 230_23-LG,_e3b19cb5-45e5-44d2-87cb-46a42e3ef3a9,_45b864f2-1191-461d-ab8b-4d8ad42dd154,NonConformLoadGroup
