"PowerTransformer:
ParentInternalId","PowerTransformer:
ParentId","PowerTransformer:
Parent","PowerTransformer:
ParentName","PowerTransformer:
InternalId","PowerTransformer:
ObjectId","PowerTransformer:
ID","PowerTransformer:
Name","PowerTransformer:
Description","PowerTransformer:
mRID","PowerTransformer:
NAFlag","PowerTransformer:
ODBName","PowerTransformer:
ShortID","PowerTransformer:
ObjectType"
600781,{7d7a6334-8057-441f-bd52-1ff71bf4d179},_7d7a6334-8057-441f-bd52-1ff71bf4d179,01   AAN,748940,{fd10668d-e3c2-4277-ac77-57bd7a2abf03},_fd10668d-e3c2-4277-ac77-57bd7a2abf03,01AAN T01 85\23,01   AAN  T-01  85/23,XF-01   AAN  T-01  85/23,true,75-T-01,01,PowerTransformer
600781,{7d7a6334-8057-441f-bd52-1ff71bf4d179},_7d7a6334-8057-441f-bd52-1ff71bf4d179,01   AAN,748946,{34bad6fd-c041-4555-b16a-98e22dcc1e5d},_34bad6fd-c041-4555-b16a-98e22dcc1e5d,01AAN T02 85\23,01   AAN  T-02  85/23,XF-01   AAN  T-02  85/23,true,75-T-02,02,PowerTransformer
600801,{136bb263-ac25-45b5-b74d-a87cb811dac3},_136bb263-ac25-45b5-b74d-a87cb811dac3,01   ACO,749702,{20f67bd5-17f9-443d-b47f-6d8ac84c32fa},_20f67bd5-17f9-443d-b47f-6d8ac84c32fa,01ACO T01 230\23,01   ACO  T-01 230/23,XF-01   ACO  T-01 230/23,true,95-T-01,01,PowerTransformer
600806,{46ba434b-8b3a-480b-a795-a6874fba4240},_46ba434b-8b3a-480b-a795-a6874fba4240,01   ACS,749954,{425012ba-c6b2-49f2-91d0-6c7ab344b05c},_425012ba-c6b2-49f2-91d0-6c7ab344b05c,01ACS T01 230\13.8,01   ACS  T-01 230/13.8,XF-01   ACS  T-01 230/13.8,true,94-T-01,01,PowerTransformer
600806,{46ba434b-8b3a-480b-a795-a6874fba4240},_46ba434b-8b3a-480b-a795-a6874fba4240,01   ACS,749959,{a92edc41-8ebc-400a-b514-6941cd83a4f3},_a92edc41-8ebc-400a-b514-6941cd83a4f3,01ACS T02 230\34.5,01   ACS  T-02 230/34.5,XF-01   ACS  T-02 230/34.5,true,95-T-02,02,PowerTransformer
600806,{46ba434b-8b3a-480b-a795-a6874fba4240},_46ba434b-8b3a-480b-a795-a6874fba4240,01   ACS,749964,{bef2e7a4-5d98-489a-bea2-acc565ac0c3e},_bef2e7a4-5d98-489a-bea2-acc565ac0c3e,01ACS T03 230\13.8,01   ACS  T-03 230/13.8,XF-01   ACS  T-03 230/13.8,true,94-T-03,03,PowerTransformer
600811,{ddbe978c-2d0e-46e8-b8d5-b81e98f449df},_ddbe978c-2d0e-46e8-b8d5-b81e98f449df,01   AGU,750478,{56a12bb4-6331-48c3-9d6c-f8d6aab092bd},_56a12bb4-6331-48c3-9d6c-f8d6aab092bd,01AGU T01 230\23,01   AGU  T-01 230/23,XF-01   AGU  T-01 230/23,true,95-T-01,01,PowerTransformer
600811,{ddbe978c-2d0e-46e8-b8d5-b81e98f449df},_ddbe978c-2d0e-46e8-b8d5-b81e98f449df,01   AGU,750484,{6b292d3b-9bd8-40cc-9d22-d04c3b35c583},_6b292d3b-9bd8-40cc-9d22-d04c3b35c583,01AGU T02 230\23,01   AGU  T-02 230/23,XF-01   AGU  T-02 230/23,true,95-T-02,02,PowerTransformer
600816,{104abf34-8bf3-4da6-9df0-08cbe8cf23ef},_104abf34-8bf3-4da6-9df0-08cbe8cf23ef,01   AGV,750827,{7319e60e-c1d1-4a6c-ab96-9b6867c70430},_7319e60e-c1d1-4a6c-ab96-9b6867c70430,01AGV T01 85\23,01   AGV  T-01  85/23,XF-01   AGV  T-01  85/23,true,75-T-01,01,PowerTransformer
600816,{104abf34-8bf3-4da6-9df0-08cbe8cf23ef},_104abf34-8bf3-4da6-9df0-08cbe8cf23ef,01   AGV,750833,{fa06dc77-51c4-4304-ae0d-4bebc255ae7d},_fa06dc77-51c4-4304-ae0d-4bebc255ae7d,01AGV T02 85\23,01   AGV  T-02  85/23,XF-01   AGV  T-02  85/23,true,75-T-02,02,PowerTransformer
