"RatioVariation:
InternalId","RatioVariation:
ID","RatioVariation:
Name","RatioVariation:
TapPosition","RatioVariation:
Parent","RatioVariation:
ObjectType","TapChanger:
InternalId","TapChanger:
Name","RatioVariation:
RatioVariationMemberOfTapChanger:
TapChanger:
ID","TapChanger:
Parent","TapChanger:
ObjectType"
770284,_a18a5f72-6289-4dde-9514-f3a3a2800323,RatioVar_6,6,_f423fa89-4b91-4a9e-9690-85d00dbf5487,RatioVariation,770283,High Tap,_f423fa89-4b91-4a9e-9690-85d00dbf5487,_c0155323-3ac3-46f5-b73b-9d7a207f89b5,TapChanger
770285,_fa777a96-d87f-4919-9994-1249c75902b8,RatioVar_7,7,_f423fa89-4b91-4a9e-9690-85d00dbf5487,RatioVariation,770283,High Tap,_f423fa89-4b91-4a9e-9690-85d00dbf5487,_c0155323-3ac3-46f5-b73b-9d7a207f89b5,TapChanger
770286,_fca43a1e-310b-4e5e-82e7-612535ec9f9d,RatioVar_8,8,_f423fa89-4b91-4a9e-9690-85d00dbf5487,RatioVariation,770283,High Tap,_f423fa89-4b91-4a9e-9690-85d00dbf5487,_c0155323-3ac3-46f5-b73b-9d7a207f89b5,TapChanger
770287,_5be28553-bf9f-488d-9f7b-56ffc90ec929,RatioVar_9,9,_f423fa89-4b91-4a9e-9690-85d00dbf5487,RatioVariation,770283,High Tap,_f423fa89-4b91-4a9e-9690-85d00dbf5487,_c0155323-3ac3-46f5-b73b-9d7a207f89b5,TapChanger
770288,_25fab688-3483-431f-81a8-42d418eeb211,RatioVar_10,10,_f423fa89-4b91-4a9e-9690-85d00dbf5487,RatioVariation,770283,High Tap,_f423fa89-4b91-4a9e-9690-85d00dbf5487,_c0155323-3ac3-46f5-b73b-9d7a207f89b5,TapChanger
770289,_4f2d410d-3fd0-4d0a-9651-7d0d5f6c24c4,RatioVar_11,11,_f423fa89-4b91-4a9e-9690-85d00dbf5487,RatioVariation,770283,High Tap,_f423fa89-4b91-4a9e-9690-85d00dbf5487,_c0155323-3ac3-46f5-b73b-9d7a207f89b5,TapChanger
770290,_d712a10e-7ad8-4294-b303-49de937d75f6,RatioVar_12,12,_f423fa89-4b91-4a9e-9690-85d00dbf5487,RatioVariation,770283,High Tap,_f423fa89-4b91-4a9e-9690-85d00dbf5487,_c0155323-3ac3-46f5-b73b-9d7a207f89b5,TapChanger
770291,_c8fa4b1b-de36-4ab5-9693-d5a805109ad7,RatioVar_13,13,_f423fa89-4b91-4a9e-9690-85d00dbf5487,RatioVariation,770283,High Tap,_f423fa89-4b91-4a9e-9690-85d00dbf5487,_c0155323-3ac3-46f5-b73b-9d7a207f89b5,TapChanger
770292,_02cc4e11-ef19-44d3-b62f-05f5d4977a02,RatioVar_14,14,_f423fa89-4b91-4a9e-9690-85d00dbf5487,RatioVariation,770283,High Tap,_f423fa89-4b91-4a9e-9690-85d00dbf5487,_c0155323-3ac3-46f5-b73b-9d7a207f89b5,TapChanger
770293,_d4306f67-dc6c-4469-9d58-588c0f146c22,RatioVar_15,15,_f423fa89-4b91-4a9e-9690-85d00dbf5487,RatioVariation,770283,High Tap,_f423fa89-4b91-4a9e-9690-85d00dbf5487,_c0155323-3ac3-46f5-b73b-9d7a207f89b5,TapChanger
770294,_330e2279-5c89-40f4-9fad-4a85bf4334e4,RatioVar_16,16,_f423fa89-4b91-4a9e-9690-85d00dbf5487,RatioVariation,770283,High Tap,_f423fa89-4b91-4a9e-9690-85d00dbf5487,_c0155323-3ac3-46f5-b73b-9d7a207f89b5,TapChanger
770295,_2f188e63-da92-47d8-ba88-35613a242777,RatioVar_17,17,_f423fa89-4b91-4a9e-9690-85d00dbf5487,RatioVariation,770283,High Tap,_f423fa89-4b91-4a9e-9690-85d00dbf5487,_c0155323-3ac3-46f5-b73b-9d7a207f89b5,TapChanger
770296,_f6232d66-1f58-4203-b59b-c158577797b8,RatioVar_18,18,_f423fa89-4b91-4a9e-9690-85d00dbf5487,RatioVariation,770283,High Tap,_f423fa89-4b91-4a9e-9690-85d00dbf5487,_c0155323-3ac3-46f5-b73b-9d7a207f89b5,TapChanger
