"ReportingGroup:
ID","ReportingGroup:
Name","ReportingGroup:
InternalId","ReportingGroup:
Parent","ReportingGroup:
ObjectType","BusNameMarker:
InternalId","BusNameMarker:
Name","ReportingGroup:
BusNameMarkerMemberOfReportingGroup:
BusNameMarker:
ID","BusNameMarker:
Parent","BusNameMarker:
ObjectType"
_2908D716-9289-472F-87B7-DFF32004CFD8,RG_BCS,43194938,_aa4f07bf-ecb4-4033-b3a6-af08c73f6eb7,ReportingGroup,46140104,07   PXL B,_58DCBD2C-4446-41E8-8F39-100BA1B3CAF3,_2908D716-9289-472F-87B7-DFF32004CFD8,BusNameMarker
_2908D716-9289-472F-87B7-DFF32004CFD8,RG_BCS,43194938,_aa4f07bf-ecb4-4033-b3a6-af08c73f6eb7,ReportingGroup,46140103,07   PXL A,_38010D75-4957-4D1B-84E5-B25E4F30887F,_2908D716-9289-472F-87B7-DFF32004CFD8,BusNameMarker
_2908D716-9289-472F-87B7-DFF32004CFD8,RG_BCS,43194938,_aa4f07bf-ecb4-4033-b3a6-af08c73f6eb7,ReportingGroup,46106773,07   OLA A,_8F9C7677-436E-4BA8-9145-A0F0B6DDA9E7,_2908D716-9289-472F-87B7-DFF32004CFD8,BusNameMarker
_B45B98E1-120E-4724-AB47-0352D241DBD1,RG_BCA,43195374,_aa4f07bf-ecb4-4033-b3a6-af08c73f6eb7,ReportingGroup,51045386,07   MIC-9A,_E09E0732-B125-430E-AB99-BAAD2472747C,_B45B98E1-120E-4724-AB47-0352D241DBD1,BusNameMarker
_B45B98E1-120E-4724-AB47-0352D241DBD1,RG_BCA,43195374,_aa4f07bf-ecb4-4033-b3a6-af08c73f6eb7,ReportingGroup,51045385,07   TUG-81,_F083DEDA-4173-4447-BBED-4151042A4E6C,_B45B98E1-120E-4724-AB47-0352D241DBD1,BusNameMarker
_B45B98E1-120E-4724-AB47-0352D241DBD1,RG_BCA,43195374,_aa4f07bf-ecb4-4033-b3a6-af08c73f6eb7,ReportingGroup,51045384,07   PWD-6A,_35F4E5A9-DD69-407A-A269-DA2A58F211E5,_B45B98E1-120E-4724-AB47-0352D241DBD1,BusNameMarker
_B45B98E1-120E-4724-AB47-0352D241DBD1,RG_BCA,43195374,_aa4f07bf-ecb4-4033-b3a6-af08c73f6eb7,ReportingGroup,51045383,07   PID-8C,_89CF338F-FC26-488D-89C8-2FE950349768,_B45B98E1-120E-4724-AB47-0352D241DBD1,BusNameMarker
_B45B98E1-120E-4724-AB47-0352D241DBD1,RG_BCA,43195374,_aa4f07bf-ecb4-4033-b3a6-af08c73f6eb7,ReportingGroup,51045382,07   PCE-91,_C6C92359-9665-4002-B36E-0B98516C86AB,_B45B98E1-120E-4724-AB47-0352D241DBD1,BusNameMarker
_B45B98E1-120E-4724-AB47-0352D241DBD1,RG_BCA,43195374,_aa4f07bf-ecb4-4033-b3a6-af08c73f6eb7,ReportingGroup,51045381,07   MKR-82,_3D5A242E-970D-4BCA-BA40-E9516BBA50AE,_B45B98E1-120E-4724-AB47-0352D241DBD1,BusNameMarker
_B45B98E1-120E-4724-AB47-0352D241DBD1,RG_BCA,43195374,_aa4f07bf-ecb4-4033-b3a6-af08c73f6eb7,ReportingGroup,51045380,07   LBM-6A,_54A8122B-9659-4D24-8E2F-1B4F5C0DFC60,_B45B98E1-120E-4724-AB47-0352D241DBD1,BusNameMarker
