"SeriesCompensator:
ID","SeriesCompensator:
InternalId","SeriesCompensator:
Name","SeriesCompensator:
Parent","SeriesCompensator:
ObjectType","BaseVoltage:
Path","BaseVoltage:
InternalId","BaseVoltage:
Name","SeriesCompensator:
ConductingEquipmentUsesABaseVoltage:
BaseVoltage:
ID","BaseVoltage:
Parent","BaseVoltage:
ObjectType"
_74425d08-f998-4f94-9699-b95746e5a49c,795283,01TLCDOG-CS010-LCP,_f2835e04-f2dd-47a3-a175-47b75fca370e,SeriesCompensator,Network/.Base Voltages/Base 400,590818,Base 400,_f6fbc9e5-715d-41c2-8b86-f4732ea84ff2,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_7a06d2b0-a7e3-4a48-aa74-0069b435480f,795286,01TLCDOG-CS210-PIT,_f2835e04-f2dd-47a3-a175-47b75fca370e,SeriesCompensator,Network/.Base Voltages/Base 400,590818,Base 400,_f6fbc9e5-715d-41c2-8b86-f4732ea84ff2,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_a9ef8662-b954-4452-aa16-737f5fe097ad,795289,01TLCDOG-CS220-PIT,_f2835e04-f2dd-47a3-a175-47b75fca370e,SeriesCompensator,Network/.Base Voltages/Base 400,590818,Base 400,_f6fbc9e5-715d-41c2-8b86-f4732ea84ff2,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_ec2bf580-000a-4c9c-965d-6a443b727027,1034606,02   JUI-CS010-02   MMT,_f1e8c698-c232-4b95-87b3-25fd9830593c,SeriesCompensator,Network/.Base Voltages/Base 400,590818,Base 400,_f6fbc9e5-715d-41c2-8b86-f4732ea84ff2,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_e489b57f-86dc-42f8-9f19-234fcc1e1872,1034609,02   JUI-CS020-02   MPD,_f1e8c698-c232-4b95-87b3-25fd9830593c,SeriesCompensator,Network/.Base Voltages/Base 400,590818,Base 400,_f6fbc9e5-715d-41c2-8b86-f4732ea84ff2,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_4827d8a6-1688-40ee-ad4b-1d112fa4da15,1034612,02   JUI-CS030-02   MMT,_f1e8c698-c232-4b95-87b3-25fd9830593c,SeriesCompensator,Network/.Base Voltages/Base 400,590818,Base 400,_f6fbc9e5-715d-41c2-8b86-f4732ea84ff2,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_1ebaf930-c5c3-47a8-8582-db7657169d2e,1043148,02   PBD-CS460-02   TMD,_d7149e1a-0747-41a6-8f1a-c37345f78b89,SeriesCompensator,Network/.Base Voltages/Base 400,590818,Base 400,_f6fbc9e5-715d-41c2-8b86-f4732ea84ff2,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_22425383-7c4d-4ce3-ba21-20afbfa589fb,1043151,02   PBD-CS920-02   OJP,_d7149e1a-0747-41a6-8f1a-c37345f78b89,SeriesCompensator,Network/.Base Voltages/Base 400,590818,Base 400,_f6fbc9e5-715d-41c2-8b86-f4732ea84ff2,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_5f12acd1-d1f6-499e-b2eb-75b8b9d7a541,1050508,02   TCL-CS510-02   TMT,_8a84d373-d7b1-45b2-8b2c-83ddc8790ec6,SeriesCompensator,Network/.Base Voltages/Base 400,590818,Base 400,_f6fbc9e5-715d-41c2-8b86-f4732ea84ff2,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_40ae29ac-86f3-40b0-9b1c-da4f1a96f2b4,1050514,02   TCL-CSU20-02   EDO,_8a84d373-d7b1-45b2-8b2c-83ddc8790ec6,SeriesCompensator,Network/.Base Voltages/Base 400,590818,Base 400,_f6fbc9e5-715d-41c2-8b86-f4732ea84ff2,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
