"ShuntCompensator:
ID","ShuntCompensator:
Name","ShuntCompensator:
Description","ShuntCompensator:
NAFlag","ShuntCompensator:
ShortID","ShuntCompensator:
InternalId","ShuntCompensator:
Parent","ShuntCompensator:
ObjectType"
_19522656-cd49-481a-a2d0-5242ba388291,CP-01,01   AAN CP-1 T01 006.3,true,C1,748831,_d21a08d7-1fb2-4ad0-9f39-82232e0e42af,ShuntCompensator
_f9ed1f24-0f10-4682-ad7b-4be79f0e5f90,CP-02,01   AAN CP-2 T02 006.3,true,C2,748833,_d21a08d7-1fb2-4ad0-9f39-82232e0e42af,ShuntCompensator
_4d051b2f-0c69-488c-802b-2d2d15f285a6,CP-03,01   AAN CP-3      015.0,true,C3,748938,_24ffac54-fdcf-4d65-8102-3142cbf83505,ShuntCompensator
_6ecf3c1d-aa3d-4729-b9ec-8830d5988982,CP-01,01   AGU CP-1 T01 012.6,true,C1,750464,_587ec8b8-789e-4721-976c-2c432e0d93f7,ShuntCompensator
_38917273-b164-4c49-82a1-59944502638f,CP-02,01   AGU CP-2 T02 012.6,true,C2,750466,_587ec8b8-789e-4721-976c-2c432e0d93f7,ShuntCompensator
_db6b44dc-569c-41f2-9648-e35bd1e7097d,CP-01,01   AGV CP-1 T01 006.3,true,C1,750813,_ac66defd-af0d-45ea-b354-94fcaa6bc024,ShuntCompensator
_953431a2-0a9f-4038-9b4d-b2faf994038a,CP-02,01   AGV CP-2 T02 012.6,true,C2,750815,_ac66defd-af0d-45ea-b354-94fcaa6bc024,ShuntCompensator
_b219d55f-c184-4924-ad50-f7614019fa57,CP-01,01   ANS CP-1 T01 012.6,true,C1,757538,_166bb403-f3dd-4b5b-a6a5-df8257b5f120,ShuntCompensator
_459e53f2-b23b-47fd-bb58-fed5c1b4b3c3,CP-02,01   ANS CP-2 T02 012.6,true,C2,757540,_166bb403-f3dd-4b5b-a6a5-df8257b5f120,ShuntCompensator
_757c5170-2549-4cb3-b6e2-f5403101eb11,CP-03,01   ANS CP-3 T03 012.6,true,C3,757542,_166bb403-f3dd-4b5b-a6a5-df8257b5f120,ShuntCompensator
_35f87e18-9308-4503-833b-c9a80e0771d9,CP-04,01   ANS CP-4 T04 012.6,true,C4,757544,_166bb403-f3dd-4b5b-a6a5-df8257b5f120,ShuntCompensator
_abe094e6-8717-47eb-9bd5-da7920bc0cc7,CP-01,01   APA CP -01    031.6,true,C1,758221,_150fb326-6df0-469b-bfb9-76a7ea9055ed,ShuntCompensator
_5a24378b-fad0-4ea5-9cd8-412db6b3d8dc,CP-01,01   ARA CP-1 T01 012.6,true,C1,758738,_979352a2-fd7b-48c2-8963-26a1be2e8e23,ShuntCompensator
_86f6d247-3c6c-4482-92da-b10a3649fdf4,CP-02,01   ARA CP-2 T02 012.6,true,C2,758740,_979352a2-fd7b-48c2-8963-26a1be2e8e23,ShuntCompensator
_7eefc0ed-06e7-47e9-8450-d7826cdea89d,CP-04,01   ARA CP-2 T03 006.3,true,C4,758742,_979352a2-fd7b-48c2-8963-26a1be2e8e23,ShuntCompensator
_399d12bb-342e-41e2-b4ea-db27057e7de9,CP-03,01   ARA CP-3 T04 006.3,true,C3,758744,_979352a2-fd7b-48c2-8963-26a1be2e8e23,ShuntCompensator
_c495dab7-82af-42b4-a3ea-119ef60e2857,CP-01,01   ATE CP -01,true,C1,761226,_de4f1de7-42ce-4ac1-b1f7-bcf9b55b7492,ShuntCompensator
