"SynchronousMachine:
ID","SynchronousMachine:
Path","SynchronousMachine:
Description","SynchronousMachine:
ShortID","SynchronousMachine:
Name","SynchronousMachine:
nodePkey","SynchronousMachine:
InternalId","SynchronousMachine:
Parent","SynchronousMachine:
ObjectType"
_3e1ee8d1-c8a8-41c7-b6f3-b6de4d91b873,Network/Companies/SIN/01CEL/01   AMD/6/UN-01,01AMD-U1,1,UN-01,01ZIC-85,751225,_693c043f-b157-4db5-afb1-6540a25387b0,SynchronousMachine
_db3b0254-8a6d-4fb1-be4d-baba089a5b2d,Network/Companies/SIN/01CEL/01   AMD/6/UN-02,01AMD-U2,2,UN-02,01ZIC-85,751227,_693c043f-b157-4db5-afb1-6540a25387b0,SynchronousMachine
_b0a4f5be-3d25-4b11-aba0-0307e9d91841,Network/Companies/SIN/01CEL/01   AMD/6/UN-03,01AMD-U3,3,UN-03,01ZIC-85,751229,_693c043f-b157-4db5-afb1-6540a25387b0,SynchronousMachine
_6c8a2f35-27e1-4cf3-ae6c-cc68b5e7c8b7,Network/Companies/SIN/01CEL/01   ARA/13.8/UN-01,01ARA-U1,1,UN-01,01ARA-85,758581,_33844c00-b9a8-4ed9-9492-f145e7564f1e,SynchronousMachine
_2ea323ec-6972-4786-9e9c-57bb556bacd1,Network/Companies/SIN/01CEL/01   ATE/13.8/UN-01,01ATE-U1,1,UN-01,01ATE-230,761386,_9bab7977-fa8f-4528-a114-c009a69c6a47,SynchronousMachine
_98118340-a761-44e4-8fe1-944932e60e9b,Network/Companies/SIN/01CEL/01   COA/13.8/UN-01,01COA-U1,1,UN-01,01COA-230,775345,_9425b4d8-d4f4-457b-a731-5ad4bf9fe465,SynchronousMachine
_693fa8db-f463-47d5-88d0-05b90da51310,Network/Companies/SIN/01CEL/01   CRU/13.8/UN-01,01CRU-U1,1,UN-01,01CRU-230,780980,_082fbee0-c612-4a42-9076-f8d29574c8a9,SynchronousMachine
_715784dd-bced-45db-b036-74e6842b65e0,Network/Companies/SIN/01CEL/01   CTT/13.8/UN-01,01CTT-U1,1,UN-01,01CTT-85,783991,_c92cd47c-99de-43a8-ac99-eda5afdeb4b1,SynchronousMachine
_a3024412-6c5d-4cb9-9275-d6586f9ff2e7,Network/Companies/SIN/01CEL/01   CYO/13.8/UN-01,01CYO-U1,1,UN-01,01CYO-85,792354,_fcdffa1e-1673-4ba6-9331-44b576cf5073,SynchronousMachine
_c7461a43-5b2a-4a33-b186-0c43b7f087b5,Network/Companies/SIN/01CEL/01   CYO/13.8/UN-02,01CYO-U2,2,UN-02,01CYO-85,792356,_fcdffa1e-1673-4ba6-9331-44b576cf5073,SynchronousMachine
