"TransformerWinding:
ObjectType","TransformerWinding:
ID","TransformerWinding:
Path","TransformerWinding:
Name","TransformerWinding:
b_pu","TransformerWinding:
r_pu","TransformerWinding:
x_pu","TransformerWinding:
InternalId","TransformerWinding:
Parent"
TransformerWinding,_a842e159-ff8f-4bcc-9a3a-5931fb19efb8,Network/Companies/SIN/01CEL/01   AAN/01AAN T01 85\23/Alta,Alta,0,0,0.33867000000000003,748941,_fd10668d-e3c2-4277-ac77-57bd7a2abf03
TransformerWinding,_b0b96dc7-e2ec-4f16-b6b6-2bc0af7b8e8f,Network/Companies/SIN/01CEL/01   AAN/01AAN T01 85\23/Baja,Baja,0,,,748943,_fd10668d-e3c2-4277-ac77-57bd7a2abf03
TransformerWinding,_e5036ba5-3cd6-4906-af18-04589d2862b3,Network/Companies/SIN/01CEL/01   AAN/01AAN T02 85\23/Alta,Alta,0,0,0.33867000000000003,748947,_34bad6fd-c041-4555-b16a-98e22dcc1e5d
TransformerWinding,_c7afb31a-8bec-49fb-ba14-9597525bf96c,Network/Companies/SIN/01CEL/01   AAN/01AAN T02 85\23/Baja,Baja,0,,,748949,_34bad6fd-c041-4555-b16a-98e22dcc1e5d
TransformerWinding,_f1533963-9fec-4e57-a780-1084b069e6dc,Network/Companies/SIN/01CEL/01   ACO/01ACO T01 230\23/Alta,Alta,0,0,0.27689999999999998,749703,_20f67bd5-17f9-443d-b47f-6d8ac84c32fa
TransformerWinding,_67406417-63cd-4eaf-8405-c2b9a16ebca7,Network/Companies/SIN/01CEL/01   ACO/01ACO T01 230\23/Baja,Baja,0,,,749706,_20f67bd5-17f9-443d-b47f-6d8ac84c32fa
TransformerWinding,_08d115f8-5120-4d2b-ab18-7f2cfa0086c3,Network/Companies/SIN/01CEL/01   ACS/01ACS T01 230\13.8/Alta,Alta,0,0,0.02,749955,_425012ba-c6b2-49f2-91d0-6c7ab344b05c
TransformerWinding,_ab32615e-2d31-431b-9d48-1717e659dd9a,Network/Companies/SIN/01CEL/01   ACS/01ACS T01 230\13.8/Baja,Baja,0,,,749957,_425012ba-c6b2-49f2-91d0-6c7ab344b05c
TransformerWinding,_5b95dc6f-1e07-4fbe-8dce-7962a9139bc7,Network/Companies/SIN/01CEL/01   ACS/01ACS T02 230\34.5/Alta,Alta,0,0,0.062077,749960,_a92edc41-8ebc-400a-b514-6941cd83a4f3
TransformerWinding,_d9bc859c-eba7-40ac-95df-af292cfa8395,Network/Companies/SIN/01CEL/01   ACS/01ACS T02 230\34.5/Baja,Baja,0,,,749962,_a92edc41-8ebc-400a-b514-6941cd83a4f3
TransformerWinding,_ceaf2333-64fa-4954-8482-559bd47daa70,Network/Companies/SIN/01CEL/01   ACS/01ACS T03 230\13.8/Alta,Alta,0,0,0.171429,749965,_bef2e7a4-5d98-489a-bea2-acc565ac0c3e
TransformerWinding,_d5f88a9f-9511-49f3-9199-15171a04e134,Network/Companies/SIN/01CEL/01   ACS/01ACS T03 230\13.8/Baja,Baja,0,,,749967,_bef2e7a4-5d98-489a-bea2-acc565ac0c3e
TransformerWinding,_f8abdfed-7569-4756-9a1e-5468f77f0219,Network/Companies/SIN/01CEL/01   AGU/01AGU T01 230\23/Alta,Alta,0,0.00048000000000000001,0.26487300000000003,750479,_56a12bb4-6331-48c3-9d6c-f8d6aab092bd
TransformerWinding,_f8ed3d96-7bee-44a2-b5a9-d7038e062628,Network/Companies/SIN/01CEL/01   AGU/01AGU T01 230\23/Baja,Baja,0,,,750481,_56a12bb4-6331-48c3-9d6c-f8d6aab092bd
TransformerWinding,_ccda1244-868c-48bb-82bb-b89b98cf320f,Network/Companies/SIN/01CEL/01   AGU/01AGU T02 230\23/Alta,Alta,0,0.00048000000000000001,0.27143,750485,_6b292d3b-9bd8-40cc-9d22-d04c3b35c583
TransformerWinding,_f73332c1-5361-40f0-bb3d-0f888f660e70,Network/Companies/SIN/01CEL/01   AGU/01AGU T02 230\23/Baja,Baja,0,,,750487,_6b292d3b-9bd8-40cc-9d22-d04c3b35c583
TransformerWinding,_a21c6b75-5a40-49c9-b620-168f590349be,Network/Companies/SIN/01CEL/01   AGV/01AGV T01 85\23/Alta,Alta,0,0,0.47099999999999997,750828,_7319e60e-c1d1-4a6c-ab96-9b6867c70430
TransformerWinding,_15e069f5-fc83-49fd-8db9-816045fd1f81,Network/Companies/SIN/01CEL/01   AGV/01AGV T01 85\23/Baja,Baja,0,,,750830,_7319e60e-c1d1-4a6c-ab96-9b6867c70430
TransformerWinding,_23e2556d-7b16-4bd2-badd-b51d5264654f,Network/Companies/SIN/01CEL/01   AGV/01AGV T02 85\23/Alta,Alta,0,0,0.46143000000000001,750834,_fa06dc77-51c4-4304-ae0d-4bebc255ae7d
TransformerWinding,_5c948a87-9147-4915-a7c8-0058ebf050b7,Network/Companies/SIN/01CEL/01   AGV/01AGV T02 85\23/Baja,Baja,0,,,750836,_fa06dc77-51c4-4304-ae0d-4bebc255ae7d
TransformerWinding,_5db21b3b-2119-485f-aeac-caffa0bf678e,Network/Companies/SIN/01CEL/01   AMD/01AMD T01 23\6.0/Alta,Alta,0,0,0.746,751248,_3cc4f01a-7540-4c51-94cc-74bf486b1eb4
TransformerWinding,_82968189-a699-4445-b6e9-4337854e9a64,Network/Companies/SIN/01CEL/01   AMD/01AMD T01 23\6.0/Baja,Baja,0,,,751250,_3cc4f01a-7540-4c51-94cc-74bf486b1eb4
TransformerWinding,_654df38a-02a5-4dde-9d29-ac16970359e7,Network/Companies/SIN/01CEL/01   AMD/01AMD T02 23\6.0/Alta,Alta,0,0,0.746,751253,_4e2e061c-19d3-48e8-a2b4-ab7e15a22690
TransformerWinding,_4120e922-427a-471d-957a-5052e76446e2,Network/Companies/SIN/01CEL/01   AMD/01AMD T02 23\6.0/Baja,Baja,0,,,751255,_4e2e061c-19d3-48e8-a2b4-ab7e15a22690
TransformerWinding,_932e2a17-8e30-4108-b8c8-0af8561f1cbf,Network/Companies/SIN/01CEL/01   AMD/01AMD T03 23\6.0/Alta,Alta,0,0,0.746,751258,_d630f68c-04ec-4e67-8a91-3d69fd2f8d6e
TransformerWinding,_389ac505-c381-40a2-aa63-298d5800d77d,Network/Companies/SIN/01CEL/01   AMD/01AMD T03 23\6.0/Baja,Baja,0,,,751260,_d630f68c-04ec-4e67-8a91-3d69fd2f8d6e
TransformerWinding,_18a0a07f-9a1b-47d2-b81e-fb79ffdf995f,Network/Companies/SIN/01CEL/01   ANL/01ANL T01 85\23/Alta,Alta,0,0,0.5,757330,_82d55b0a-b9f2-4fcb-842c-303a699831d4
TransformerWinding,_8f1c0abe-6844-457c-86f3-a5b618f3f5ef,Network/Companies/SIN/01CEL/01   ANL/01ANL T01 85\23/Baja,Baja,0,,,757332,_82d55b0a-b9f2-4fcb-842c-303a699831d4
TransformerWinding,_bbd7e5e8-f092-474d-85bc-5292e51a2eb3,Network/Companies/SIN/01CEL/01   ANS/01ANS T01 85\23/Alta,Alta,0,0,0.48299999999999998,757567,_f71d0f2b-60a5-4684-ade1-120ddb36f437
TransformerWinding,_86d39792-7165-4ed6-8c20-de5e61b41c5b,Network/Companies/SIN/01CEL/01   ANS/01ANS T01 85\23/Baja,Baja,0,,,757569,_f71d0f2b-60a5-4684-ade1-120ddb36f437
TransformerWinding,_c0135f50-3e74-4924-a1da-58f6dc561ac3,Network/Companies/SIN/01CEL/01   ANS/01ANS T02 85\23/Alta,Alta,0,0,0.48666999999999999,757573,_c90d4df7-5fd7-438a-9a0a-1e3c6ad87947
TransformerWinding,_609a75f7-9eef-4e6a-80a0-4282a1b99f5e,Network/Companies/SIN/01CEL/01   ANS/01ANS T02 85\23/Baja,Baja,0,,,757575,_c90d4df7-5fd7-438a-9a0a-1e3c6ad87947
TransformerWinding,_3222fde4-abf6-4c30-b924-b81326041a81,Network/Companies/SIN/01CEL/01   ANS/01ANS T03 85\23/Alta,Alta,0,0,0.48666999999999999,757579,_334bd09d-1ce5-4862-9a58-35f9caeb7fc3
TransformerWinding,_a41ae4ec-5314-4e84-865c-8c9f3ce66693,Network/Companies/SIN/01CEL/01   ANS/01ANS T03 85\23/Baja,Baja,0,,,757581,_334bd09d-1ce5-4862-9a58-35f9caeb7fc3
TransformerWinding,_afbc313d-1e2f-4106-b25d-afedc6abc3bb,Network/Companies/SIN/01CEL/01   ANS/01ANS T04 85\23/Alta,Alta,0,0,0.47239999999999999,757585,_b65b68b2-01e6-4fd1-9090-cbebf0d578f3
TransformerWinding,_980c5e87-28ab-43ef-9be8-57e7b1892f9d,Network/Companies/SIN/01CEL/01   ANS/01ANS T04 85\23/Baja,Baja,0,,,757587,_b65b68b2-01e6-4fd1-9090-cbebf0d578f3
TransformerWinding,_49edf65e-5edd-4cad-b303-18894412a1ee,Network/Companies/SIN/01CEL/01   APA/01APA T01 230\85/Alta,Alta,0,0,0.17480000000000001,758339,_cf1de19d-2d9e-4dbe-91c5-092960864081
