ID,InternalId,Name,Parent,ObjectType,BaseVoltage_Path,BaseVoltage_InternalId,BaseVoltage_Name,ConductingEquipmentUsesABaseVoltage_BaseVoltage_ID,BaseVoltage_Parent,BaseVoltage_ObjectType
_b7813524-9045-4202-910b-6c46c4e7ce77,1900271,01   AAN-73W40-01   JUA,_3041c852-b141-4ee6-8865-e3401340d7a8,ACLineSegment,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_fbf38bd7-afaa-484f-9f8b-1264a920e904,1900274,01   AAN-73W80-01   PAC,_3041c852-b141-4ee6-8865-e3401340d7a8,ACLineSegment,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_aca6896b-c8e7-43e0-a0b7-ae1793485105,1900277,01   AAN-73W90-01   CFZ,_3041c852-b141-4ee6-8865-e3401340d7a8,ACLineSegment,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_f612e10d-3bf7-4096-87c5-e614fa066573,1900280,01   ACC-73J50-01   VAJ,_3041c852-b141-4ee6-8865-e3401340d7a8,ACLineSegment,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_d5e0ac72-5862-4f18-95c3-6246f217e506,1900283,01   ACC-73J70-01   AUM,_3041c852-b141-4ee6-8865-e3401340d7a8,ACLineSegment,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_3e5645df-2de0-443e-bdf5-9106561e830d,1900286,01   ACN-73G90-01   BAR,_3041c852-b141-4ee6-8865-e3401340d7a8,ACLineSegment,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_b37e8258-d5b3-4a01-bf4e-a12ab1c12269,1900289,01   ACN-73H00-01   CHE,_3041c852-b141-4ee6-8865-e3401340d7a8,ACLineSegment,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_9344696c-5bb7-4055-8aae-08e25673499b,1900292,01   AGV-73E60-01   CHA,_3041c852-b141-4ee6-8865-e3401340d7a8,ACLineSegment,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_2e954a59-283f-41a2-9a1d-e7289007ffec,1900298,01   AGV-73E80-01   JCP,_3041c852-b141-4ee6-8865-e3401340d7a8,ACLineSegment,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_b13b2808-02dc-4a9a-8a0e-21dcfd72ac25,1900301,01   ALR-73K30-01   FMC,_3041c852-b141-4ee6-8865-e3401340d7a8,ACLineSegment,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
