TableName,ID,Path,ShortID,Description,NAFlag,pfixedPct,qfixedPct,InternalId,Name,Parent,ObjectType
NonConformLoad,_1a91d9dc-e392-48d6-837c-9e49c9d2fef5,Network/Companies/SIN/01CEL/01   ACC/85/CR-CARGA ACC          MW,1,01   ACC CR-CARGA ACC          MW,true,100,100,749217,CR-CARGA ACC          MW,_53cf2ab1-806d-4b80-bf4f-3a1d5a9edf78,NonConformLoad
NonConformLoad,_1bbadcb7-ce19-4d3a-b7bf-5b7dfa45fd97,Network/Companies/SIN/01CEL/01   ACM/85/T-01  85\23,1,01   ACM  T-01  85/23,true,100,100,749352,T-01  85\23,_ac2985e2-f3f7-4ad0-849c-9852154fd773,NonConformLoad
NonConformLoad,_5b427489-4f69-42f9-b1b8-0402e88cda15,Network/Companies/SIN/01CEL/01   ACN/85/CACN       85CA,1,01   ACN CACN       85CA,true,100,100,749497,CACN       85CA,_bda01895-eadb-4eb9-8de2-e5a12e2c4eec,NonConformLoad
NonConformLoad,_2786e2d7-6070-4080-ba03-24e803e46122,Network/Companies/SIN/01CEL/01   ACS/13.8/T-01 230\13.8,1,01   ACS  T-01 230/13.8,true,100,100,749937,T-01 230\13.8,_dcaabd70-41d7-4f8d-8680-963a3f645282,NonConformLoad
NonConformLoad,_d7be713b-9754-40c5-9616-d28de2140732,Network/Companies/SIN/01CEL/01   ACS/13.8/T-03 230\13.8,2,01   ACS  T-03 230/13.8,true,100,100,749942,T-03 230\13.8,_dcaabd70-41d7-4f8d-8680-963a3f645282,NonConformLoad
NonConformLoad,_08970a09-6038-4032-93bd-a204d22d582e,Network/Companies/SIN/01CEL/01   ACS/34.5/T-02 230\34.5,1,01   ACS  T-02 230/34.5,true,100,100,749949,T-02 230\34.5,_b5bf8ad7-e924-4dee-a1c9-6e1e287cff12,NonConformLoad
NonConformLoad,_c26d7e96-30cb-4ac0-8ab0-1d8c49223348,Network/Companies/SIN/01CEL/01   ALR/85/CRG ALR,1,01   ALR CRG ALR,true,100,100,751099,CRG ALR,_8d2202c3-01ba-498e-ae46-d6ac8fd60051,NonConformLoad
NonConformLoad,_fea2553e-85c0-4a0c-8303-fe02e093529c,Network/Companies/SIN/01CEL/01   ARX/230/230CA,1,01   ARX 230CA,true,100,100,760694,230CA,_3855e1b2-7187-43c4-845b-06adac836bc0,NonConformLoad
NonConformLoad,_940ee20c-6cb7-4fac-a8b4-8c3fbaf64c27,Network/Companies/SIN/01CEL/01   ASK/23/T-01 230\23,1,01   ASK  T-01 230/23,true,100,100,760830,T-01 230\23,_f8f84e2b-ec57-43f0-ab86-068e8729a537,NonConformLoad
NonConformLoad,_47ad76d4-0e42-48fc-bc43-62b1ac6b311a,Network/Companies/SIN/01CEL/01   ASK/23/T-02 230\23,2,01   ASK  T-02 230/23,true,100,100,760835,T-02 230\23,_f8f84e2b-ec57-43f0-ab86-068e8729a537,NonConformLoad
