"CurveData:
ID","CurveData:
xAxisData","CurveData:
y1AxisData","CurveData:
y2AxisData","CurveData:
InternalId","CurveData:
Name","CurveData:
Parent","CurveData:
ObjectType"
_d7e9822d-95c9-48b1-a6ce-590f4a7ece92,0,-2,2,751263,0,_68d14d18-55e5-4a8c-ab05-3ec14546755a,CurveData
_68b20231-77bb-4714-bc0c-609ebaa546ad,1,-2,2,751264,10,_68d14d18-55e5-4a8c-ab05-3ec14546755a,CurveData
_5d9f437c-3fe6-43af-9ba4-6690a17e880a,2,-2,2,751265,20,_68d14d18-55e5-4a8c-ab05-3ec14546755a,CurveData
_89d64f61-4ec9-497c-b6dc-696382d8fc30,3,-2,2,751266,30,_68d14d18-55e5-4a8c-ab05-3ec14546755a,CurveData
_e0f4c7e6-5aa0-4f1d-8cae-bb090e2806eb,4,-2,2,751267,40,_68d14d18-55e5-4a8c-ab05-3ec14546755a,CurveData
_3d3c04d9-6013-457c-b15b-1e7128b998f4,0,-2,2,751269,0,_16d026eb-1aa0-4074-adf9-7281e5962f0f,CurveData
_b4a306e6-256b-41c0-a610-fe981a20aa87,1,-2,2,751270,10,_16d026eb-1aa0-4074-adf9-7281e5962f0f,CurveData
_68a3c9ce-fcfa-437d-a074-7e16fa6c85ff,2,-2,2,751271,20,_16d026eb-1aa0-4074-adf9-7281e5962f0f,CurveData
_969a783d-100c-4255-805d-c68bd13e6ece,3,-2,2,751272,30,_16d026eb-1aa0-4074-adf9-7281e5962f0f,CurveData
_eef5673f-8ca0-428e-9ce8-f1a26d53180e,4,-2,2,751273,40,_16d026eb-1aa0-4074-adf9-7281e5962f0f,CurveData
_4527a553-84e8-4188-92b3-c6ab92a7dd96,0,-2,2,751275,0,_443c0370-6d49-4aae-b984-00f7f4ecfeb4,CurveData
_b4641de4-4870-4564-8ffd-5f9dbac82c03,1,-2,2,751276,10,_443c0370-6d49-4aae-b984-00f7f4ecfeb4,CurveData
_336629b5-cbc2-491e-9085-506655f81b50,2,-2,2,751277,20,_443c0370-6d49-4aae-b984-00f7f4ecfeb4,CurveData
_e7d0bd3c-2ab9-4cc5-b4df-a7b9d9b81f9a,3,-2,2,751278,30,_443c0370-6d49-4aae-b984-00f7f4ecfeb4,CurveData
_b655e9eb-fc8d-4104-a706-6fa36676fb10,4,-2,2,751279,40,_443c0370-6d49-4aae-b984-00f7f4ecfeb4,CurveData
_e1db91ba-48d9-41c9-9c2d-40d1d3c0ac2a,0,-10,10,758861,0,_ea3642f9-d968-4f8c-a376-3edf42f21e32,CurveData
_e021bc80-b25a-424e-8081-fb51f9e810ea,10,-10,10,758862,10,_ea3642f9-d968-4f8c-a376-3edf42f21e32,CurveData
_7494609b-199e-4bab-87ca-9a53c89f3317,15,-10,10,758863,20,_ea3642f9-d968-4f8c-a376-3edf42f21e32,CurveData
_cc24e53b-0bcc-4ebe-8c3c-c0d340836073,22,-10,10,758864,30,_ea3642f9-d968-4f8c-a376-3edf42f21e32,CurveData
_e83cef85-fa15-4757-ac78-725da862061a,32,-10,10,758865,40,_ea3642f9-d968-4f8c-a376-3edf42f21e32,CurveData
_de1fc3ff-6e3d-4ba6-b2d3-dd2e80b41a88,0,-10,10,761612,0,_6caf0a6e-b535-4393-8cdc-87ce506b931a,CurveData
_ce97cba5-bec6-4a43-82dd-31763cb587df,7,-10,10,761613,10,_6caf0a6e-b535-4393-8cdc-87ce506b931a,CurveData
_3ec7eee1-495f-4668-8b86-194d12602e7c,14,-10,10,761614,20,_6caf0a6e-b535-4393-8cdc-87ce506b931a,CurveData
_d57d47a1-eef5-41c2-9e25-f5158d0d8060,23,-10,10,761615,30,_6caf0a6e-b535-4393-8cdc-87ce506b931a,CurveData
_a7fdef0f-f879-44f4-b85b-87a56f32d330,32,-10,10,761616,40,_6caf0a6e-b535-4393-8cdc-87ce506b931a,CurveData
_ca5c7936-f2ab-48b7-9f4c-25dc55df2771,0,-10,10,775583,0,_2180ce3a-1540-465f-9729-956c8160281a,CurveData
_90d76db5-b68a-4b56-a822-3a2a475c6869,7,-10,10,775584,10,_2180ce3a-1540-465f-9729-956c8160281a,CurveData
_524b2a34-8de8-47f2-a504-49eb874ac03c,14,-10,10,775585,20,_2180ce3a-1540-465f-9729-956c8160281a,CurveData
_5b8ae922-3abd-426d-9997-7b27ba992d46,23,-10,10,775586,30,_2180ce3a-1540-465f-9729-956c8160281a,CurveData
_95377a47-5a7e-4f08-a41a-57f93e0ae266,32,-10,10,775587,40,_2180ce3a-1540-465f-9729-956c8160281a,CurveData
_d0b7bcc5-1763-416c-8925-e26e4cd81392,0,-10,10,781406,0,_6fe627ad-9562-4e93-8b40-150f8d342322,CurveData
_7997b73a-e3a4-4910-bc74-f02806bcd38a,7,-10,10,781407,10,_6fe627ad-9562-4e93-8b40-150f8d342322,CurveData
_a78a2523-b785-479c-a4cb-4d5191ff5d20,14,-10,10,781408,20,_6fe627ad-9562-4e93-8b40-150f8d342322,CurveData
_26620b2a-e9aa-4c49-9429-fdd3456b977e,23,-10,10,781409,30,_6fe627ad-9562-4e93-8b40-150f8d342322,CurveData
_e289ef34-821a-4667-83e2-529d83f1bdc5,32,-10,10,781410,40,_6fe627ad-9562-4e93-8b40-150f8d342322,CurveData
_99cc0013-b5fb-4d6d-a377-32c3bafa1849,0,-10,10,784220,0,_5fa0b4dc-6d02-4f06-9c9e-f3beb2ffe9a9,CurveData
_825cb4f0-7029-4746-97e2-091f57beeeeb,7,-10,10,784221,10,_5fa0b4dc-6d02-4f06-9c9e-f3beb2ffe9a9,CurveData
_e21878ab-b565-4e94-8c22-4bb849b71f8a,14,-10,10,784222,20,_5fa0b4dc-6d02-4f06-9c9e-f3beb2ffe9a9,CurveData
_ccd2e774-0d04-4759-bc8b-5838eeaa22b7,23,-10,10,784223,30,_5fa0b4dc-6d02-4f06-9c9e-f3beb2ffe9a9,CurveData
_331266a8-66b2-4c6d-8a12-60c4c8468e8a,32,-10,10,784224,40,_5fa0b4dc-6d02-4f06-9c9e-f3beb2ffe9a9,CurveData
_d3e456cb-e68c-4db1-82b0-0ddd29bb723c,0,-10,10,792579,0,_7729e207-38dc-4665-a0e7-1cc7840f4f2c,CurveData
_f724784c-88bb-46fe-a420-a251f9638350,7,-10,10,792580,10,_7729e207-38dc-4665-a0e7-1cc7840f4f2c,CurveData
_ce50fd09-6882-4aa5-b6f8-3bc833c6f32d,14,-10,10,792581,20,_7729e207-38dc-4665-a0e7-1cc7840f4f2c,CurveData
_4888b574-9016-456a-a222-4cc02effe15e,23,-10,10,792582,30,_7729e207-38dc-4665-a0e7-1cc7840f4f2c,CurveData
_d371e7c4-8f9a-4191-adce-4884e30df10e,32,-10,10,792583,40,_7729e207-38dc-4665-a0e7-1cc7840f4f2c,CurveData
_bd006931-ff9c-4c1b-9f5c-5af6dbcf19f4,0,-10,10,792585,0,_93060267-0dc4-4bb3-a1e7-4795c5655261,CurveData
_706ad5e9-7318-49aa-bf03-ea3bd58a4c47,7,-10,10,792586,10,_93060267-0dc4-4bb3-a1e7-4795c5655261,CurveData
_f3d24a8f-ed95-4890-8ba5-da650abd8bbe,14,-10,10,792587,20,_93060267-0dc4-4bb3-a1e7-4795c5655261,CurveData
_24a5b536-1597-40f1-886c-4fadeffd0308,23,-10,10,792588,30,_93060267-0dc4-4bb3-a1e7-4795c5655261,CurveData
_14622e42-f39c-4fe3-b827-cc0fbfb4879f,32,-10,10,792589,40,_93060267-0dc4-4bb3-a1e7-4795c5655261,CurveData
_978a304a-50a3-4810-8626-11dfd08d5b89,0,-10,10,796216,0,_47cb9627-97e6-4043-9de9-0b5beeabddf3,CurveData
_9f1779c3-da0e-42fd-9131-e7d72b60a14d,7,-10,10,796217,10,_47cb9627-97e6-4043-9de9-0b5beeabddf3,CurveData
_141f1d56-dda2-4c8c-81e4-576595136037,14,-10,10,796218,20,_47cb9627-97e6-4043-9de9-0b5beeabddf3,CurveData
_814c03f6-720f-44b8-beb8-ea8166f8df21,23,-10,10,796219,30,_47cb9627-97e6-4043-9de9-0b5beeabddf3,CurveData
_34850c51-2002-497f-9ff9-c00e861ecf2c,32,-10,10,796220,40,_47cb9627-97e6-4043-9de9-0b5beeabddf3,CurveData
_09f970eb-09d4-4b6b-b5a5-7b1cebb3d816,0,-10,12,798181,0,_4264051e-d39c-45b7-8445-2cf2cad2d8fe,CurveData
_b981e349-c402-4185-b596-c8caa6ebb4e2,7,-10,12,798182,10,_4264051e-d39c-45b7-8445-2cf2cad2d8fe,CurveData
_1c983215-f887-445c-9e55-4b0afb1ddf21,12,-10,12,798183,20,_4264051e-d39c-45b7-8445-2cf2cad2d8fe,CurveData
_af1cff6f-a362-4d74-aaba-13db1d74af85,14,-10,12,798184,30,_4264051e-d39c-45b7-8445-2cf2cad2d8fe,CurveData
_f5392add-c870-43dd-af87-3e37cc1162dd,16,-10,12,798185,40,_4264051e-d39c-45b7-8445-2cf2cad2d8fe,CurveData
_9df288fd-cef4-46ca-9c08-194eac795bb0,0,-10,12,798187,0,_93717320-3206-4480-8c81-8e07498f8119,CurveData
_d6994b67-fedd-43e9-b18d-930e9422035e,7,-10,12,798188,10,_93717320-3206-4480-8c81-8e07498f8119,CurveData
_de626696-f243-4c7b-95cd-88c538029c0f,12,-10,12,798189,20,_93717320-3206-4480-8c81-8e07498f8119,CurveData
_11cb2afb-1d62-4e48-8dab-c79b7830f16c,14,-10,12,798190,30,_93717320-3206-4480-8c81-8e07498f8119,CurveData
_1bba7c79-2bd1-47a8-a128-3012dc56de9a,16,-10,12,798191,40,_93717320-3206-4480-8c81-8e07498f8119,CurveData
_96c48f60-9e89-45a0-a7d7-aece25e96ef0,0,-20,20,800217,0,_ccb8d1fd-30a0-4cb3-8fce-3aa0d8079e34,CurveData
_ec1eb2fd-94a6-454f-9364-ab40334dca96,33,-15,15,800218,10,_ccb8d1fd-30a0-4cb3-8fce-3aa0d8079e34,CurveData
_40728e75-7696-489a-b823-b0131a247b69,66,-10,10,800219,20,_ccb8d1fd-30a0-4cb3-8fce-3aa0d8079e34,CurveData
_0b0efb72-ef55-4b2e-80ac-27776a70b330,90,-7,7,800220,30,_ccb8d1fd-30a0-4cb3-8fce-3aa0d8079e34,CurveData
_aa9c88ea-c406-4bf7-9fca-4fab198e22c8,100.5,-5,5,800221,40,_ccb8d1fd-30a0-4cb3-8fce-3aa0d8079e34,CurveData
_8a6192e3-e4eb-49bc-b8f5-233ad5bb2818,0,-20,30,800223,0,_feabbe5b-1d2e-4225-81eb-9f29a434310b,CurveData
_c7eb7d3c-f44f-44aa-b17c-95d99c3867fd,10,-20,30,800224,10,_feabbe5b-1d2e-4225-81eb-9f29a434310b,CurveData
_b022c319-4fed-4f50-853a-127b66bb881a,15,-20,30,800225,20,_feabbe5b-1d2e-4225-81eb-9f29a434310b,CurveData
_246fa426-8db2-4b50-b8f5-b2b794087a7e,22,-20,30,800226,30,_feabbe5b-1d2e-4225-81eb-9f29a434310b,CurveData
_e767d4ee-4411-43b4-b929-012c064e05e3,33.5,-20,30,800227,40,_feabbe5b-1d2e-4225-81eb-9f29a434310b,CurveData
_b1d76f08-484c-441a-b6ea-6cd02fb6d792,0,-20,30,800229,0,_b3a48d20-06c1-46f3-86ee-3a091d81e66a,CurveData
_bd3e5d01-dd49-4520-a7ae-49dbd053a74d,10,-20,30,800230,10,_b3a48d20-06c1-46f3-86ee-3a091d81e66a,CurveData
_2e361c5e-f4b6-47db-85fd-8aaf72e6b221,15,-20,30,800231,20,_b3a48d20-06c1-46f3-86ee-3a091d81e66a,CurveData
_d33082e5-4e35-4ffc-8af6-1a3f07469da5,22,-20,30,800232,30,_b3a48d20-06c1-46f3-86ee-3a091d81e66a,CurveData
_28f99397-beaa-4b8e-a5c7-fc2311c33174,33.5,-20,30,800233,40,_b3a48d20-06c1-46f3-86ee-3a091d81e66a,CurveData
_9afe41fe-f629-4e2f-8b2c-5627ea04400f,0,-20,30,800235,0,_29633768-71a9-4fd0-8cc2-91f9b01fae49,CurveData
_e151556b-3b23-4695-96f4-6b069fa41ac5,10,-20,30,800236,10,_29633768-71a9-4fd0-8cc2-91f9b01fae49,CurveData
_1cebda6d-4be2-488c-85be-3879bbbf0216,15,-20,30,800237,20,_29633768-71a9-4fd0-8cc2-91f9b01fae49,CurveData
_2cf32665-ee74-4005-85f6-c6e111409701,22,-20,30,800238,30,_29633768-71a9-4fd0-8cc2-91f9b01fae49,CurveData
_6602c1ed-ad42-496a-a0ba-5d533113d5b5,33.5,-20,30,800239,40,_29633768-71a9-4fd0-8cc2-91f9b01fae49,CurveData
_17251505-4639-416b-9afb-4f3ee44fb9d6,0,-30,30,802382,0,_706de9f1-36d3-4ea8-bdca-da7bc79d20c2,CurveData
_974c9370-530d-4489-8063-fb0bfc2937fa,45,-30,30,802383,10,_706de9f1-36d3-4ea8-bdca-da7bc79d20c2,CurveData
_19858d1e-576f-4457-95fc-5fbd9ec83afe,90,-30,30,802384,20,_706de9f1-36d3-4ea8-bdca-da7bc79d20c2,CurveData
_a7e4b716-0618-4204-94ba-ef912ea8fde8,135,-30,30,802385,30,_706de9f1-36d3-4ea8-bdca-da7bc79d20c2,CurveData
_116de74f-b99f-4811-8377-c9dd1a86b479,200,-30,30,802386,40,_706de9f1-36d3-4ea8-bdca-da7bc79d20c2,CurveData
_29c4ab60-4d1a-46a4-a17d-11cac4974e6d,0,-30,30,802388,0,_718d032e-f8a3-4c4c-b461-5d650c7fdf50,CurveData
_735837ec-b1f6-4b73-8546-1870329e014c,45,-30,30,802389,10,_718d032e-f8a3-4c4c-b461-5d650c7fdf50,CurveData
_3d90fa89-80af-482c-b49d-30ccc3b13974,90,-30,30,802390,20,_718d032e-f8a3-4c4c-b461-5d650c7fdf50,CurveData
_a934a0de-86f4-487d-a6ba-acab127b19f8,135,-30,30,802391,30,_718d032e-f8a3-4c4c-b461-5d650c7fdf50,CurveData
_30db7b78-0f9b-4e93-b4e2-222ab380e412,200,-30,30,802392,40,_718d032e-f8a3-4c4c-b461-5d650c7fdf50,CurveData
_523a0ffb-3adf-46f2-83b9-e8bd16267b32,0,-30,30,802394,0,_3256f148-d67c-4177-81b6-ca74549590cc,CurveData
_00a56159-2bf7-4b29-85ab-a4089081acab,45,-30,30,802395,10,_3256f148-d67c-4177-81b6-ca74549590cc,CurveData
_1abbfd5f-4590-4f5d-9938-7e3015b9dd44,90,-30,30,802396,20,_3256f148-d67c-4177-81b6-ca74549590cc,CurveData
