"SynchronousMachine:
ID","SynchronousMachine:
InternalId","SynchronousMachine:
Name","SynchronousMachine:
Parent","SynchronousMachine:
ObjectType","GeneratingUnit:
Path","GeneratingUnit:
InternalId","GeneratingUnit:
Name","SynchronousMachine:
SynchronousMachineMemberOfGeneratingUnit:
GeneratingUnit:
ID","GeneratingUnit:
Parent","GeneratingUnit:
ObjectType"
_3e1ee8d1-c8a8-41c7-b6f3-b6de4d91b873,751225,UN-01,_693c043f-b157-4db5-afb1-6540a25387b0,SynchronousMachine,Network/.Generation/01ALAMEDA/01AMD-U1 Unit,2101937,01AMD-U1 Unit,_78f3ee82-147f-430d-a6f5-f7c1ea2f925e,_98e3ebff-a6d5-49a8-9db9-0dbc393d77f8,HydroGeneratingUnit
_db3b0254-8a6d-4fb1-be4d-baba089a5b2d,751227,UN-02,_693c043f-b157-4db5-afb1-6540a25387b0,SynchronousMachine,Network/.Generation/01ALAMEDA/01AMD-U2 Unit,2101938,01AMD-U2 Unit,_e8eff924-52ea-4f8d-b13a-c5086eea9dea,_98e3ebff-a6d5-49a8-9db9-0dbc393d77f8,HydroGeneratingUnit
_b0a4f5be-3d25-4b11-aba0-0307e9d91841,751229,UN-03,_693c043f-b157-4db5-afb1-6540a25387b0,SynchronousMachine,Network/.Generation/01ALAMEDA/01AMD-U3 Unit,2101939,01AMD-U3 Unit,_7bdd8cdc-f7b9-440c-9952-f90149b1ae31,_98e3ebff-a6d5-49a8-9db9-0dbc393d77f8,HydroGeneratingUnit
_6c8a2f35-27e1-4cf3-ae6c-cc68b5e7c8b7,758581,UN-01,_33844c00-b9a8-4ed9-9492-f145e7564f1e,SynchronousMachine,Network/.Generation/01ARAGON/01ARA-U1 Unit,2102519,01ARA-U1 Unit,_4f7a2941-5ff4-4e74-bca3-8cec3a2525cc,_206fb860-cbe9-4180-8190-c590533ce7e0,ThermalGeneratingUnit
_2ea323ec-6972-4786-9e9c-57bb556bacd1,761386,UN-01,_9bab7977-fa8f-4528-a114-c009a69c6a47,SynchronousMachine,Network/.Generation/01ATENCO/01ATE-U1 Unit,2102534,01ATE-U1 Unit,_57fdb3c4-170e-45a3-bb74-560a684250a0,_30de1253-464a-47bf-8da5-1cfe212af4ed,ThermalGeneratingUnit
_98118340-a761-44e4-8fe1-944932e60e9b,775345,UN-01,_9425b4d8-d4f4-457b-a731-5ad4bf9fe465,SynchronousMachine,Network/.Generation/01COAPA/01COA-U1 Unit,2102549,01COA-U1 Unit,_203b43ef-6820-44b6-bc37-33249371c65a,_309b710e-ae81-4f47-bdba-3cd814cb3561,ThermalGeneratingUnit
_693fa8db-f463-47d5-88d0-05b90da51310,780980,UN-01,_082fbee0-c612-4a42-9076-f8d29574c8a9,SynchronousMachine,Network/.Generation/01SANTA CRUZ/01CRU-U1 Unit,2102564,01CRU-U1 Unit,_653b7352-3fb5-4bbc-aada-2b20d0b5aa50,_9e884ef7-9afd-4521-973b-e096968d264a,ThermalGeneratingUnit
_715784dd-bced-45db-b036-74e6842b65e0,783991,UN-01,_c92cd47c-99de-43a8-ac99-eda5afdeb4b1,SynchronousMachine,Network/.Generation/01CUAUTITLAN/01CTT-U1 Unit,2102579,01CTT-U1 Unit,_dd6db3c9-34dd-471f-a489-a72f7684e118,_9b3cc784-9b65-4706-90b7-65cc2e028829,ThermalGeneratingUnit
_a3024412-6c5d-4cb9-9275-d6586f9ff2e7,792354,UN-01,_fcdffa1e-1673-4ba6-9331-44b576cf5073,SynchronousMachine,Network/.Generation/01COYOTEPEC/01CYO-U1 Unit,2102595,01CYO-U1 Unit,_2b35f292-987b-4420-b1d7-85d4008373fa,_c57ba521-ffa5-485d-b760-5966731f71a5,ThermalGeneratingUnit
_c7461a43-5b2a-4a33-b186-0c43b7f087b5,792356,UN-02,_fcdffa1e-1673-4ba6-9331-44b576cf5073,SynchronousMachine,Network/.Generation/01COYOTEPEC/01CYO-U2 Unit,2102608,01CYO-U2 Unit,_90550674-9205-4042-aa44-6ea4917d120f,_c57ba521-ffa5-485d-b760-5966731f71a5,ThermalGeneratingUnit
