"ShuntCompensator:
ID","ShuntCompensator:
VoltageControlFlag","ShuntCompensator:
InternalId","ShuntCompensator:
Name","ShuntCompensator:
Parent","ShuntCompensator:
ObjectType","ShuntCompensator:
RegulatingCondEqRegulatesTerminal:
Terminal:
ID","Terminal:
InternalId","Terminal:
Name","Terminal:
Parent","Terminal:
ObjectType"
_19522656-cd49-481a-a2d0-5242ba388291,false,748831,CP-01,_d21a08d7-1fb2-4ad0-9f39-82232e0e42af,ShuntCompensator,,,,,
_f9ed1f24-0f10-4682-ad7b-4be79f0e5f90,false,748833,CP-02,_d21a08d7-1fb2-4ad0-9f39-82232e0e42af,ShuntCompensator,,,,,
_4d051b2f-0c69-488c-802b-2d2d15f285a6,false,748938,CP-03,_24ffac54-fdcf-4d65-8102-3142cbf83505,ShuntCompensator,,,,,
_6ecf3c1d-aa3d-4729-b9ec-8830d5988982,false,750464,CP-01,_587ec8b8-789e-4721-976c-2c432e0d93f7,ShuntCompensator,,,,,
_38917273-b164-4c49-82a1-59944502638f,false,750466,CP-02,_587ec8b8-789e-4721-976c-2c432e0d93f7,ShuntCompensator,,,,,
_db6b44dc-569c-41f2-9648-e35bd1e7097d,false,750813,CP-01,_ac66defd-af0d-45ea-b354-94fcaa6bc024,ShuntCompensator,,,,,
_953431a2-0a9f-4038-9b4d-b2faf994038a,false,750815,CP-02,_ac66defd-af0d-45ea-b354-94fcaa6bc024,ShuntCompensator,,,,,
_b219d55f-c184-4924-ad50-f7614019fa57,false,757538,CP-01,_166bb403-f3dd-4b5b-a6a5-df8257b5f120,ShuntCompensator,,,,,
_459e53f2-b23b-47fd-bb58-fed5c1b4b3c3,false,757540,CP-02,_166bb403-f3dd-4b5b-a6a5-df8257b5f120,ShuntCompensator,,,,,
_757c5170-2549-4cb3-b6e2-f5403101eb11,false,757542,CP-03,_166bb403-f3dd-4b5b-a6a5-df8257b5f120,ShuntCompensator,,,,,
_35f87e18-9308-4503-833b-c9a80e0771d9,false,757544,CP-04,_166bb403-f3dd-4b5b-a6a5-df8257b5f120,ShuntCompensator,,,,,
_abe094e6-8717-47eb-9bd5-da7920bc0cc7,false,758221,CP-01,_150fb326-6df0-469b-bfb9-76a7ea9055ed,ShuntCompensator,,,,,
_5a24378b-fad0-4ea5-9cd8-412db6b3d8dc,false,758738,CP-01,_979352a2-fd7b-48c2-8963-26a1be2e8e23,ShuntCompensator,,,,,
_86f6d247-3c6c-4482-92da-b10a3649fdf4,false,758740,CP-02,_979352a2-fd7b-48c2-8963-26a1be2e8e23,ShuntCompensator,,,,,
