"StaticVarCompensator:
ID","StaticVarCompensator:
InternalId","StaticVarCompensator:
Name","StaticVarCompensator:
Parent","StaticVarCompensator:
ObjectType","StaticVarCompensator:
RegulatingCondEqRegulatesTerminal:
Terminal:
ID","Terminal:
InternalId","Terminal:
Name","Terminal:
Parent","Terminal:
ObjectType"
_49d0138d-6df1-4292-8373-af83cb49a886,779107,UN-CEV,_e8217baa-f877-4df1-abeb-89a3fe5602b4,StaticVarCompensator,_ba931038-88cb-48ed-a0ee-b92c9fec5fb9,778712,T1,_98396366-46b8-4978-a55d-914e3e24cb95,Terminal
_5c51ddcd-d56e-454a-8f32-e194c68a0cb6,812814,UN-CEV,_417697c4-8e6d-4c7e-a5a3-35546c1d5884,StaticVarCompensator,_9b57a7b7-f9af-4487-b23d-7ed5801390c3,812688,T1,_9b70928b-7a3f-4905-9077-f0a69c307626,Terminal
_c9a30173-e1de-4ee7-9409-c8184f1ae771,828405,UN-CEV,_60ce52fe-5262-4d72-9d38-182cd39bd4b8,StaticVarCompensator,_4d620247-ddc2-4cb7-9012-c20cfc3c907b,828186,T1,_c7c0fd76-7c66-4f84-a7c0-1fd4ce0d321f,Terminal
_0e88df76-ebf8-4c37-91c0-2b23ade04378,864270,UN-CEV,_3920269f-aa2a-4484-8c8f-04f3c16047f3,StaticVarCompensator,_f39ba61c-237f-48e2-8ccf-b85a841ed615,864022,T1,_4f07a09e-69fc-44e7-9cae-51d8f74314f9,Terminal
_d3b0229a-c4d9-4196-94ec-4e0158d52ae2,867829,UN-CEV,_c4751684-9f83-4705-8888-aa70725b2ef7,StaticVarCompensator,_20aa4ad7-33ec-4c62-b4ce-a4b5b3f493a6,867658,T1,_17cfb1ec-1b88-4fbd-b2ab-d0c951db0348,Terminal
_8c2800eb-1ab6-47fb-8bd7-5478a63fb071,896747,UN-CE2,_e2ab9c84-b118-4b6f-8ebd-eb4302989355,StaticVarCompensator,_9529233d-9636-4699-ba2c-0f218aee5c31,42156649,T1,_ff2c3c5e-65a3-46b0-8144-1b70ee436375,Terminal
_e1b8e99f-dd53-4399-aae9-9763621b36bd,896754,UN-CE1,_1e71208b-863e-4a74-ad9d-ff1dce0f415c,StaticVarCompensator,_68f8a679-bd0e-4f56-9b66-61f8fd59f901,896185,T1,_3b02a83f-b426-42de-973d-513905c23005,Terminal
_4487c0ab-2131-4360-a86f-1dbcb408a8ab,918296,UN-CEV,_41fc80d1-d206-40b7-81aa-4b408ce0e258,StaticVarCompensator,_05701500-dca0-4389-9952-67ed56ca741e,917891,T1,_693c4c6c-1996-4812-b132-116eb0a033b7,Terminal
_22c2bdcc-b360-4c0e-b99c-5d06a49398e6,933549,UN-CE1,_6ff83431-1ebb-4211-8812-cf3ecf3cd600,StaticVarCompensator,_a7beaeee-f28d-4fb8-a1c7-c248654b27d7,933338,T1,_ba1b8303-f6f0-40c1-ac77-f078fc7fa22a,Terminal
_eb60112f-79bb-4417-a1c9-51611a1f2f9b,933551,UN-CE2,_6ff83431-1ebb-4211-8812-cf3ecf3cd600,StaticVarCompensator,_adfceba0-948d-44f0-825e-212bd50ecca0,933340,T1,_b9df6e54-9daf-4b5f-9fee-a60b21176805,Terminal
_9e7f5ffb-0fe3-41a8-8655-c78e560eef4e,937955,UN-CEV,_9fcc69d7-8101-413d-b6b2-e2629a14e609,StaticVarCompensator,_b42fae14-fd09-4718-9092-998cf164d2b1,937793,T1,_6bf47048-4356-4df9-92e5-2a5c74c372d1,Terminal
_ec24e137-88b8-4fdc-8067-444b50c98be8,939546,UN-CE2,_9210d317-5666-4968-862e-b51add5cd709,StaticVarCompensator,_8b01d9db-6d03-4231-bb8f-d85187c0a3d2,939161,T1,_de5e7e4a-87dc-4dfb-afc2-dd26f6a95d0e,Terminal
_b96f7718-772b-4f96-b57e-30befd0da325,939548,UN-CE3,_9210d317-5666-4968-862e-b51add5cd709,StaticVarCompensator,_544c6e8c-566a-4170-9ba6-114adc2c6bd3,939163,T1,_c8532cc0-23b1-413d-9e26-6c62dbdd83e1,Terminal
_8c3bc4ac-ecb1-4c08-8fa8-c0249567d364,939550,UN-CE6,_9210d317-5666-4968-862e-b51add5cd709,StaticVarCompensator,_951a3bdb-9612-4a65-aacc-0811105b9b6f,939169,T1,_06ffbcb9-1ea1-4ced-af09-00b5162a8cdc,Terminal
_4f210b35-5ca1-4108-80b5-7cef23737159,939552,UN-CE8,_9210d317-5666-4968-862e-b51add5cd709,StaticVarCompensator,_6306c286-105f-48a2-be4b-96db10674a23,939173,T1,_b83a050b-e6a4-49ba-964d-a8fae233e526,Terminal
_a774ea8d-1cba-4aab-a197-cb93bd5d9b33,952003,UN-CEV,_f59f5a2a-6aeb-4bdb-86af-c9ee1fafedcc,StaticVarCompensator,_83285241-381f-4333-b092-30de7fa9f2c4,951616,T1,_416cb070-de1a-4cf1-a711-e43c553eae12,Terminal
