"ThermalGeneratingUnit:
ID","ThermalGeneratingUnit:
PhysicalUnitType","ThermalGeneratingUnit:
InternalId","ThermalGeneratingUnit:
Name","ThermalGeneratingUnit:
Parent","ThermalGeneratingUnit:
ObjectType"
_8c0b2de4-432d-49a9-878a-da337f2beb1e,"Combustion Turbine (can burn liquid fuels as well as gas, e.g., oil, jet fuel etc.)",1712831,06EAP-U1 Unit,_77c12a1c-384e-4eab-823b-a892bf31468d,ThermalGeneratingUnit
_004c6f49-e91b-4abe-b2f4-b9a015b6ad8c,"Combustion Turbine (can burn liquid fuels as well as gas, e.g., oil, jet fuel etc.)",1761900,06RRD-U1 Unit,_16157e84-d0a9-434c-86ce-55bb833007ab,ThermalGeneratingUnit
_013b6fb7-d833-4270-a100-5dc82982b2e4,"Combustion Turbine (can burn liquid fuels as well as gas, e.g., oil, jet fuel etc.)",1805860,06LAA-U1 Unit,_b6273668-c7f3-40d7-9c53-f900728b7008,ThermalGeneratingUnit
_c213cae1-56a7-492b-9fbf-15d4a49dc21d,Gas Turbine (can only burn gas),1881260,07   TDM-U01 Unit,_018bcbda-9a13-4a87-921c-a1c16f58bec9,ThermalGeneratingUnit
_0b84b96f-250c-417d-a953-a8d7f187bf87,Gas Turbine (can only burn gas),1881261,07   TDM-U02 Unit,_018bcbda-9a13-4a87-921c-a1c16f58bec9,ThermalGeneratingUnit
_ce63011f-3711-4dd4-9277-ec543a1d8201,Fossil Fired Steam,1881262,07   TDM-U03 Unit,_018bcbda-9a13-4a87-921c-a1c16f58bec9,ThermalGeneratingUnit
_16d156ed-bd21-4eb1-bc61-a7aae686720e,Gas Turbine (can only burn gas),1881982,07   ALH-U01 Unit,_5ecd043e-62c9-4947-aebe-ab1e095c69dd,ThermalGeneratingUnit
_1251659e-d55b-4dd5-8020-7f5363a8516b,Gas Turbine (can only burn gas),1882020,07   ARK-U01 Unit,_e2283d17-b837-4ea6-ace7-d466ef82896a,ThermalGeneratingUnit
_debb8a02-d19a-4076-9be6-a5e7d6202d26,Gas Turbine (can only burn gas),1882166,07   COV-U01 COLMAC Unit,_9947d817-1200-4301-beca-99e191b23042,ThermalGeneratingUnit
_cddf746b-973d-4315-8556-e56b872975ce,Gas Turbine (can only burn gas),1882573,07   ECR-U01 2 Unit,_6e8d2ca5-d46b-4128-bb19-44a8ca59a3a3,ThermalGeneratingUnit
_ab842baf-c8ba-4ce3-8692-59ee79ec680d,Gas Turbine (can only burn gas),1882574,07   ECR-U02 2 Unit,_6e8d2ca5-d46b-4128-bb19-44a8ca59a3a3,ThermalGeneratingUnit
_aacca821-cd71-4923-9064-9b04de5cac9a,Gas Turbine (can only burn gas),1882575,07   ECR-U03 3 Unit,_6e8d2ca5-d46b-4128-bb19-44a8ca59a3a3,ThermalGeneratingUnit
_b00412f0-9648-4362-b8ce-0e4432a81dff,Gas Turbine (can only burn gas),1882576,07   ECR-U04 3 Unit,_6e8d2ca5-d46b-4128-bb19-44a8ca59a3a3,ThermalGeneratingUnit
_daed173b-6fd9-471c-bb6b-b5dcf5715bb3,Gas Turbine (can only burn gas),1882577,07   ECR-U05 1 Unit,_6e8d2ca5-d46b-4128-bb19-44a8ca59a3a3,ThermalGeneratingUnit
_8e45ca48-6d79-46ea-a665-1e0398607f09,Gas Turbine (can only burn gas),1883940,07   HLI-U01 MESA Unit,_cd09afbf-a2ba-4c0f-83be-43da21d74221,ThermalGeneratingUnit
_c4c7f5ec-982e-4917-9a34-fefb03b6207f,Gas Turbine (can only burn gas),1883941,07   HLI-U02 SIGPLNT Unit,_cd09afbf-a2ba-4c0f-83be-43da21d74221,ThermalGeneratingUnit
_13c453eb-e64e-41e4-a113-c40942ab7541,Gas Turbine (can only burn gas),1884200,07   MID-U01 LEATHERS Unit,_5d49954c-48c8-4720-85f6-250bcbe9076d,ThermalGeneratingUnit
_c07d5815-0caf-4972-828b-9a325ad655d6,Gas Turbine (can only burn gas),1884201,07   MID-U02 SALTSEA Unit,_5d49954c-48c8-4720-85f6-250bcbe9076d,ThermalGeneratingUnit
_e6d7768e-220a-4a52-a669-63669ab53546,Gas Turbine (can only burn gas),1884202,07   MID-U03 VULCAN Unit,_5d49954c-48c8-4720-85f6-250bcbe9076d,ThermalGeneratingUnit
_395b26b0-f00d-4bd5-834f-fb86c0cc0bcf,Gas Turbine (can only burn gas),1884434,07   NLD-U01 Unit,_fba4b4fb-d002-4d26-b98c-d2bfac0c5c54,ThermalGeneratingUnit
_efd34cf4-0cda-4dc9-9b72-c70009892d73,Gas Turbine (can only burn gas),1884435,07   NLD-U02 Unit,_fba4b4fb-d002-4d26-b98c-d2bfac0c5c54,ThermalGeneratingUnit
_fe5f4744-c695-4613-a3da-3cf8e7f04903,Gas Turbine (can only burn gas),1884436,07   NLD-U03 Unit,_fba4b4fb-d002-4d26-b98c-d2bfac0c5c54,ThermalGeneratingUnit
_12f82634-18e7-4b9b-ac6f-d4b2ce96d4fe,Gas Turbine (can only burn gas),1886155,07   DVR-U01 500 KV Unit,_922aa0c6-6a26-46bd-8e1b-4f4c04254b18,ThermalGeneratingUnit
_6d8edc59-31db-406b-8c8d-fdac30723d68,Gas Turbine (can only burn gas),1887636,07   HND-U01 BUCKBLVD Unit,_b9951da0-e04c-4ac8-aed8-ac847adda1b9,ThermalGeneratingUnit
_4b4be148-e27b-4124-994a-5d08fb2b50ae,Gas Turbine (can only burn gas),1888466,07   SRN-U01 MLM 1500 Unit,_17147e22-fd6d-4541-88b6-5429e2ccf4b1,ThermalGeneratingUnit
_6d63dc6d-57b9-41c6-a594-5430f314fd1d,Gas Turbine (can only burn gas),1888467,07   SRN-U02 MLM 2500 Unit,_17147e22-fd6d-4541-88b6-5429e2ccf4b1,ThermalGeneratingUnit
_c7601d06-9243-419a-952b-991bba310e20,Gas Turbine (can only burn gas),1889147,07   VLY-U01 IEC Unit,_8b3c3979-7507-4b5d-8bcb-b4a39c4e4a23,ThermalGeneratingUnit
_a2501d93-c19d-46fe-b5e9-c1aed6aae713,Gas Turbine (can only burn gas),1889753,07   ENC-U02 230 KV Unit,_2ded4633-ef7d-476e-a9ca-307519a6810a,ThermalGeneratingUnit
_0d627a5e-56bc-4cbd-a431-a9739de0988c,Gas Turbine (can only burn gas),1890594,07   MGL-U01 CS1 Unit,_6d846d6c-c44f-41cf-8eda-0251764a8e9d,ThermalGeneratingUnit
_ddf78f51-5460-48e0-abc1-8b204ad93027,Gas Turbine (can only burn gas),1890595,07   MGL-U02 CS2 Unit,_6d846d6c-c44f-41cf-8eda-0251764a8e9d,ThermalGeneratingUnit
_aeb477b3-99a2-49d0-a067-d80dc79146c8,Gas Turbine (can only burn gas),1891496,07   OMS-U01 Unit,_34da2f35-d1fe-46d5-b2da-f95f5e6ef61b,ThermalGeneratingUnit
_85ea23b7-3a8d-4dfb-bf27-627294b93876,Gas Turbine (can only burn gas),1891497,07   OMS-U02 Unit,_34da2f35-d1fe-46d5-b2da-f95f5e6ef61b,ThermalGeneratingUnit
_a46442c1-007a-4b18-9a82-cca21e35f0c8,Fossil Fired Steam,1891498,07   OMS-U03 Unit,_34da2f35-d1fe-46d5-b2da-f95f5e6ef61b,ThermalGeneratingUnit
_189b1362-7f14-4a3a-99c3-eb874c45c8ab,Gas Turbine (can only burn gas),1891499,07   OMS-U04 PIO 23070 Unit,_34da2f35-d1fe-46d5-b2da-f95f5e6ef61b,ThermalGeneratingUnit
_6f669bb3-c45f-4306-b9a1-3eb6e79a0af7,Gas Turbine (can only burn gas),1891925,07   PLR-U01 Unit,_0b7b75fd-ef6c-4f24-a40e-b40e3dd1edab,ThermalGeneratingUnit
_45bc97a1-fea5-41a5-97e3-6361c38be333,Gas Turbine (can only burn gas),1891926,07   PLR-U02 Unit,_0b7b75fd-ef6c-4f24-a40e-b40e3dd1edab,ThermalGeneratingUnit
_74a8b137-0425-40b2-b1c9-e09404cbade7,Fossil Fired Steam,1891927,07   PLR-U03 Unit,_0b7b75fd-ef6c-4f24-a40e-b40e3dd1edab,ThermalGeneratingUnit
_ae773399-f665-489d-9b7d-c73cfd739967,Gas Turbine (can only burn gas),1893559,07   SOF-U01 VIEJOS Unit,_4d5915de-0fb0-40d5-ba29-fdfb36ade807,ThermalGeneratingUnit
_538b6e99-6eeb-4392-88ef-29832c419e38,Gas Turbine (can only burn gas),1894948,07   HAS-U01 HARQUA Unit,_e8b28618-11e4-4fd4-bf4b-77be2ac730a6,ThermalGeneratingUnit
_c2d8a323-29e3-49ef-be12-c179b673a837,Gas Turbine (can only burn gas),1894949,07   HAS-U02 REDH2 Unit,_e8b28618-11e4-4fd4-bf4b-77be2ac730a6,ThermalGeneratingUnit
