"TapChanger:
ID","TapChanger:
TapMovability","TapChanger:
InternalId","TapChanger:
Name","TapChanger:
Parent","TapChanger:
ObjectType","TapChanger:
TapChangerRegulatesTerminal:
Terminal:
ID","Terminal:
InternalId","Terminal:
Name","Terminal:
Parent","Terminal:
ObjectType"
_7f2de607-e748-49ce-87dc-e8e28aa47291,false,749705,High Tap,_f1533963-9fec-4e57-a780-1084b069e6dc,TapChanger,,,,,
_f423fa89-4b91-4a9e-9690-85d00dbf5487,true,770283,High Tap,_c0155323-3ac3-46f5-b73b-9d7a207f89b5,TapChanger,_2b6e86f2-367c-430f-a779-48def66ec73b,769995,T1,_68c6798f-a303-4a8e-968c-c75a5876e1a5,Terminal
_004dc3e7-0df2-4225-991e-0831471f5d2f,true,770322,High Tap,_d4ae533c-4d47-4a5b-a5b8-e1e16be29729,TapChanger,_2b6e86f2-367c-430f-a779-48def66ec73b,769995,T1,_68c6798f-a303-4a8e-968c-c75a5876e1a5,Terminal
_ad014201-d9e0-4beb-819e-8e8e229cfb38,true,770361,High Tap,_dceae8ed-d305-4348-815d-d80c3bfb1c77,TapChanger,_2b6e86f2-367c-430f-a779-48def66ec73b,769995,T1,_68c6798f-a303-4a8e-968c-c75a5876e1a5,Terminal
_d7ee0644-b004-4f23-bfcb-1728c93038dd,true,772415,High Tap,_e41bed48-5934-492b-8061-15df5693a260,TapChanger,,,,,
_1fc4e388-a9c7-4962-9ce0-32c21390b5b1,true,772421,High Tap,_43e2710a-d73d-456f-9fd7-9668384b7dfb,TapChanger,,,,,
_9f1c44da-1f1d-44ac-9f08-9ebb9a8720df,true,772427,High Tap,_4b2e8658-f9da-49dc-aee7-2237f4543643,TapChanger,,,,,
_6db0532e-b955-491d-82c1-110610d84f3e,true,781200,High Tap,_30dfaead-f2a6-4808-b428-81bb3977871d,TapChanger,_af48df57-c2c4-439b-b037-38ad8c1ac0d5,780598,T1,_0c1817f1-b5cd-4630-8306-b48636c8e4e3,Terminal
_4f849e9e-6b44-4695-8767-98bd6195701c,false,781235,Low Tap,_257841b1-e7ad-463b-8478-8ee2fcbb19e7,TapChanger,,,,,
_3578926f-16a9-434f-aaf7-962b2ab413a8,true,781239,High Tap,_0344a327-499d-474f-a83e-79c57f02bf7d,TapChanger,_af48df57-c2c4-439b-b037-38ad8c1ac0d5,780598,T1,_0c1817f1-b5cd-4630-8306-b48636c8e4e3,Terminal
_5f1ee86e-6dd6-46a5-b082-7f09ac1ab735,false,781274,Low Tap,_fc0821ba-34b2-4ed5-a571-f2b50e9f344a,TapChanger,,,,,
_b4c292a8-fe9b-422c-9eee-fc840cba520e,true,781278,High Tap,_9d611394-f3e0-42c5-b3de-0054fe3c1520,TapChanger,_af48df57-c2c4-439b-b037-38ad8c1ac0d5,780598,T1,_0c1817f1-b5cd-4630-8306-b48636c8e4e3,Terminal
_952062f0-cc85-4d57-92da-24925738e42b,false,781303,Low Tap,_45833f6b-8e8d-42da-b964-ba0ab69f8db8,TapChanger,,,,,
_5b25583c-be6f-457c-9bf1-a716f4e1a808,true,794225,High Tap,_7bbd33a3-fae6-4f5d-b9d3-1cd823a19408,TapChanger,,,,,
_ada06a4d-fee4-4a3f-bb1b-faf4f50882cc,true,794231,High Tap,_034ec45a-5722-483a-aaa4-ca3a65fbfbe5,TapChanger,,,,,
_d3c33e63-c42d-4830-86e5-46dc3a9aafa1,true,795295,High Tap,_02ab36e5-7c9d-4e5d-9c65-3855a305cc05,TapChanger,_10cf9385-e8a3-4662-9da5-f8ccbe6a048c,794810,T1,_e98e778b-9b80-464b-9f87-6c16f7c93639,Terminal
_c80a3e75-c048-4dbe-9188-42d255504dd3,true,795301,High Tap,_84f2bf8e-838a-4a78-8768-2629a004d428,TapChanger,_ef1d4902-47d7-4098-ac23-1f648a62cae6,794812,T1,_13addbd3-d14a-4598-9b37-b1fa5ce2bd6b,Terminal
_8ad943f2-cebd-4706-82d6-4e922de9c602,true,795753,High Tap,_3e5c43d8-0b89-48ff-8867-ca119ed1ae66,TapChanger,_42982ab8-f44f-4a4a-b39f-16f2f301954f,795579,T1,_44f6c413-4151-4d61-a5c4-47a7671a9612,Terminal
_e0188eb4-6d09-4b6d-b10a-a0fd800c4902,true,795759,High Tap,_e587ed0b-105f-4115-87ea-5b9a769cbde3,TapChanger,_42982ab8-f44f-4a4a-b39f-16f2f301954f,795579,T1,_44f6c413-4151-4d61-a5c4-47a7671a9612,Terminal
_7f76b0fb-729a-46ee-8be9-5c1ac8bd5d3b,true,800379,High Tap,_35833e57-83c7-4c90-9472-c03dbcfe9993,TapChanger,,,,,
_c44837b4-a8f2-4dc3-8b49-cb9249a844f9,true,800385,High Tap,_862ce890-a41a-4985-a24a-b1fc754074e9,TapChanger,,,,,
_1f260c20-6655-4bf3-8d20-0b37ee7ab6c0,true,800391,High Tap,_d6ca67ef-1e1a-4fe1-8d19-863930d40a7d,TapChanger,,,,,
_bccf460e-85b6-4d6c-905c-9f535fc52dc0,true,812383,High Tap,_a1505c57-fff0-4eb6-af9e-99916340577b,TapChanger,_ab9885d2-69cd-407b-a119-31f606b7e88b,812114,T1,_564cc6e3-0367-4acf-90ab-339065613093,Terminal
_3e2f5fad-2790-4a09-b1b8-975fef1ed980,true,812389,High Tap,_1e1c1a5b-9d2f-4aff-b356-1d6228bcc957,TapChanger,_ab9885d2-69cd-407b-a119-31f606b7e88b,812114,T1,_564cc6e3-0367-4acf-90ab-339065613093,Terminal
_07eb2b29-0b73-40e4-adae-7737b26c4ecf,true,812865,High Tap,_db505bf3-5f1b-485d-b9ef-a32a416b6a88,TapChanger,_15268428-f859-44ae-bfa4-1b779b04c7c6,812515,T1,_913f028d-d7e0-45dd-b2f9-460d3057de58,Terminal
