"PowerTransformer:
ID","PowerTransformer:
transformerType","PowerTransformer:
InternalId","PowerTransformer:
Name","PowerTransformer:
Parent","PowerTransformer:
ObjectType"
_fd10668d-e3c2-4277-ac77-57bd7a2abf03,voltageControl,748940,01AAN T01 85\23,_7d7a6334-8057-441f-bd52-1ff71bf4d179,PowerTransformer
_34bad6fd-c041-4555-b16a-98e22dcc1e5d,voltageControl,748946,01AAN T02 85\23,_7d7a6334-8057-441f-bd52-1ff71bf4d179,PowerTransformer
_20f67bd5-17f9-443d-b47f-6d8ac84c32fa,voltageControl,749702,01ACO T01 230\23,_136bb263-ac25-45b5-b74d-a87cb811dac3,PowerTransformer
_425012ba-c6b2-49f2-91d0-6c7ab344b05c,fix,749954,01ACS T01 230\13.8,_46ba434b-8b3a-480b-a795-a6874fba4240,PowerTransformer
_a92edc41-8ebc-400a-b514-6941cd83a4f3,fix,749959,01ACS T02 230\34.5,_46ba434b-8b3a-480b-a795-a6874fba4240,PowerTransformer
_bef2e7a4-5d98-489a-bea2-acc565ac0c3e,fix,749964,01ACS T03 230\13.8,_46ba434b-8b3a-480b-a795-a6874fba4240,PowerTransformer
_56a12bb4-6331-48c3-9d6c-f8d6aab092bd,voltageControl,750478,01AGU T01 230\23,_ddbe978c-2d0e-46e8-b8d5-b81e98f449df,PowerTransformer
_6b292d3b-9bd8-40cc-9d22-d04c3b35c583,voltageControl,750484,01AGU T02 230\23,_ddbe978c-2d0e-46e8-b8d5-b81e98f449df,PowerTransformer
_7319e60e-c1d1-4a6c-ab96-9b6867c70430,voltageControl,750827,01AGV T01 85\23,_104abf34-8bf3-4da6-9df0-08cbe8cf23ef,PowerTransformer
_fa06dc77-51c4-4304-ae0d-4bebc255ae7d,voltageControl,750833,01AGV T02 85\23,_104abf34-8bf3-4da6-9df0-08cbe8cf23ef,PowerTransformer
_3cc4f01a-7540-4c51-94cc-74bf486b1eb4,fix,751247,01AMD T01 23\6.0,_ab7364ab-6a20-48ee-bcb3-55a539da9707,PowerTransformer
_4e2e061c-19d3-48e8-a2b4-ab7e15a22690,fix,751252,01AMD T02 23\6.0,_ab7364ab-6a20-48ee-bcb3-55a539da9707,PowerTransformer
_d630f68c-04ec-4e67-8a91-3d69fd2f8d6e,fix,751257,01AMD T03 23\6.0,_ab7364ab-6a20-48ee-bcb3-55a539da9707,PowerTransformer
_82d55b0a-b9f2-4fcb-842c-303a699831d4,voltageControl,757329,01ANL T01 85\23,_b2b4f0cd-2802-4fa5-86ee-04a6624e0b61,PowerTransformer
_f71d0f2b-60a5-4684-ade1-120ddb36f437,voltageControl,757566,01ANS T01 85\23,_08c12709-7830-4b41-ab18-0b4e86f6005b,PowerTransformer
_c90d4df7-5fd7-438a-9a0a-1e3c6ad87947,voltageControl,757572,01ANS T02 85\23,_08c12709-7830-4b41-ab18-0b4e86f6005b,PowerTransformer
_334bd09d-1ce5-4862-9a58-35f9caeb7fc3,voltageControl,757578,01ANS T03 85\23,_08c12709-7830-4b41-ab18-0b4e86f6005b,PowerTransformer
_b65b68b2-01e6-4fd1-9090-cbebf0d578f3,voltageControl,757584,01ANS T04 85\23,_08c12709-7830-4b41-ab18-0b4e86f6005b,PowerTransformer
_cf1de19d-2d9e-4dbe-91c5-092960864081,voltageControl,758338,01APA T01 230\85,_a60f4223-9870-4666-9dee-b09e2b96c8c4,PowerTransformer
_e43f77fe-c69a-4bfa-a47d-a3bc131f70c2,voltageControl,758344,01APA T02 230\85,_a60f4223-9870-4666-9dee-b09e2b96c8c4,PowerTransformer
_f2c8b716-d682-492d-bd0c-2e38e530b693,voltageControl,758350,01APA T03 230\85,_a60f4223-9870-4666-9dee-b09e2b96c8c4,PowerTransformer
_7c43ba4c-b458-4029-b511-9391cf1669f1,voltageControl,758356,01APA T04 230\85,_a60f4223-9870-4666-9dee-b09e2b96c8c4,PowerTransformer
_8f857ec4-2c29-44ab-8d21-3d22f8d00e8a,voltageControl,758831,01ARA T01 85\23,_91f30831-7426-4b97-b879-324465672079,PowerTransformer
_ce3b159e-a7ac-48f8-94f6-ba3c37539844,voltageControl,758837,01ARA T02 85\23,_91f30831-7426-4b97-b879-324465672079,PowerTransformer
_e97bf7a7-97cc-42a2-bd21-3d784ef9ffec,voltageControl,758843,01ARA T03 85\23,_91f30831-7426-4b97-b879-324465672079,PowerTransformer
_d6503e8f-5804-43e0-8bca-5d147f2073ba,voltageControl,758849,01ARA T04 85\23,_91f30831-7426-4b97-b879-324465672079,PowerTransformer
_da871de3-0169-416c-8d89-f9ab5edf089d,fix,758855,01ARA T10 23\13.8,_91f30831-7426-4b97-b879-324465672079,PowerTransformer
_cc5bef74-9036-4a2c-a8f9-fcc93bf98463,voltageControl,760840,01ASK T01 230\23,_ec8bd6dc-e31d-4c61-aa30-8e048d5fe817,PowerTransformer
_aa72df80-aba5-44e3-9082-5650ecda70d6,voltageControl,760846,01ASK T02 230\23,_ec8bd6dc-e31d-4c61-aa30-8e048d5fe817,PowerTransformer
_a6a6b496-cd1c-44be-86a1-6ea3fd4afe1c,voltageControl,761564,01ATE T01 230\85,_312cbc31-b6c9-4f46-902f-478647c99b8c,PowerTransformer
_6e2dbc67-9306-4450-a038-cf136fc7e0e1,voltageControl,761570,01ATE T02 230\85,_312cbc31-b6c9-4f46-902f-478647c99b8c,PowerTransformer
_e31ff7b9-e14c-4ce1-922f-36bbbde1769c,voltageControl,761576,01ATE T03 230\85,_312cbc31-b6c9-4f46-902f-478647c99b8c,PowerTransformer
